"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","mean.min.bet","mean.max.bet","mean.mean.bet","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","connection_onoff"
"High-throughput PPI","Ciprofloxacin_Mecillinam",2,9,9,36.5,22.75,"0",2660.131,34732.026,18696.0785,"Ciprofloxacin","Mecillinam","Ciprofloxacin-Mecillinam","CIP","MEC",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.113580197,0.012282155,0.109783579,0.100328221,0.060772022,0.080182457,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,10,0.00168415933113605,"Additivity","connected"
"Similar genomic context","Ciprofloxacin_Mecillinam",3,14,14,24,19,"0",2138.3353,13845.7438,7992.0395,"Ciprofloxacin","Mecillinam","Ciprofloxacin-Mecillinam","CIP","MEC",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.113580197,0.012282155,0.109783579,0.100328221,0.060772022,0.080182457,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,10,0.00168415933113605,"Additivity","connected"
"Co-functional (EcoCyc/GO-BP)","Ciprofloxacin_Mecillinam",1,20,20,72,46,"1",1165.2648,56411.2154,28788.2401,"Ciprofloxacin","Mecillinam","Ciprofloxacin-Mecillinam","CIP","MEC",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.113580197,0.012282155,0.109783579,0.100328221,0.060772022,0.080182457,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,10,0.00168415933113605,"Additivity","connected"
"Co-functional (GO-BP)","Ciprofloxacin_Mecillinam",1,20,20,72,46,"1",839.1163,35969.1842,18404.1502,"Ciprofloxacin","Mecillinam","Ciprofloxacin-Mecillinam","CIP","MEC",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.113580197,0.012282155,0.109783579,0.100328221,0.060772022,0.080182457,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,10,0.00168415933113605,"Additivity","connected"
"EN:allnetworks","Ciprofloxacin_Mecillinam",2,51,51,63,57,"0",3369.8115,5068.6165,4219.214,"Ciprofloxacin","Mecillinam","Ciprofloxacin-Mecillinam","CIP","MEC",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.113580197,0.012282155,0.109783579,0.100328221,0.060772022,0.080182457,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,10,0.00168415933113605,"Additivity","connected"
"Co-expression","Ciprofloxacin_Mecillinam",2,53,53,65,59,"0",6824.9537,9456.194,8140.5739,"Ciprofloxacin","Mecillinam","Ciprofloxacin-Mecillinam","CIP","MEC",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.113580197,0.012282155,0.109783579,0.100328221,0.060772022,0.080182457,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,10,0.00168415933113605,"Additivity","connected"
"Similar phylogenetic profiles","Ciprofloxacin_Meropenem",5.5,1.5,1.75,8,4.875,"0",5.6284,452.8853,229.2569,"Ciprofloxacin","Meropenem","Ciprofloxacin-Meropenem","CIP","MEM",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.108392467,-0.056275244,-0.048144659,0.05291237,0.062539444,0.136470209,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,13,0.002419899101283,"Additivity","connected"
"Small/medium-scale PPI","Ciprofloxacin_Meropenem",5.5,2.1,2.8,8.3,5.55,"0",268.4068,3002.6864,1635.5466,"Ciprofloxacin","Meropenem","Ciprofloxacin-Meropenem","CIP","MEM",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.108392467,-0.056275244,-0.048144659,0.05291237,0.062539444,0.136470209,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,13,0.002419899101283,"Additivity","connected"
"High-throughput PPI","Ciprofloxacin_Meropenem",2.8333,12.5833,12.75,43.4167,28.0833,"0",9052.1061,45738.7265,27395.4163,"Ciprofloxacin","Meropenem","Ciprofloxacin-Meropenem","CIP","MEM",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.108392467,-0.056275244,-0.048144659,0.05291237,0.062539444,0.136470209,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,13,0.002419899101283,"Additivity","connected"
"Similar genomic context","Ciprofloxacin_Meropenem",2.6667,17,17,26.3333,21.6667,"1",6153.6344,15945.2093,11049.4218,"Ciprofloxacin","Meropenem","Ciprofloxacin-Meropenem","CIP","MEM",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.108392467,-0.056275244,-0.048144659,0.05291237,0.062539444,0.136470209,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,13,0.002419899101283,"Additivity","connected"
"Co-functional (EcoCyc/GO-BP)","Ciprofloxacin_Meropenem",1.5,20,20,53.8333,36.9167,"1",1165.2648,19939.8701,10552.5674,"Ciprofloxacin","Meropenem","Ciprofloxacin-Meropenem","CIP","MEM",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.108392467,-0.056275244,-0.048144659,0.05291237,0.062539444,0.136470209,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,13,0.002419899101283,"Additivity","connected"
"Co-functional (GO-BP)","Ciprofloxacin_Meropenem",1.5,20,20,48.6667,34.3333,"1",839.1163,12093.791,6466.4536,"Ciprofloxacin","Meropenem","Ciprofloxacin-Meropenem","CIP","MEM",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.108392467,-0.056275244,-0.048144659,0.05291237,0.062539444,0.136470209,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,13,0.002419899101283,"Additivity","connected"
"Co-expression","Ciprofloxacin_Meropenem",2.5833,22.25,22.25,58.5833,40.4167,"0",2613.3576,8919.1792,5766.2684,"Ciprofloxacin","Meropenem","Ciprofloxacin-Meropenem","CIP","MEM",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.108392467,-0.056275244,-0.048144659,0.05291237,0.062539444,0.136470209,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,13,0.002419899101283,"Additivity","connected"
"EN:allnetworks","Ciprofloxacin_Meropenem",1.9167,49.9167,49.9167,75.0833,62.5,"1",3267.5474,5660.1918,4463.8696,"Ciprofloxacin","Meropenem","Ciprofloxacin-Meropenem","CIP","MEM",0,"quinolones","beta-lactam","beta-lactam-quinolones",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.108392467,-0.056275244,-0.048144659,0.05291237,0.062539444,0.136470209,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,13,0.002419899101283,"Additivity","connected"
"Co-functional (EcoCyc/GO-BP)","Ciprofloxacin_Metformin",Inf,0,6,20,13,"0",0,1165.2648,582.6324,"Ciprofloxacin","Metformin","Ciprofloxacin-Metformin","CIP","MF",0,"quinolones","human drug","human drug-quinolones",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.055967669,0.045361739,0.061566995,-0.040416429,-0.21799237,0.110213492,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,6,0.00251544903749316,"Additivity-Synergy","disconnected"
"Small/medium-scale PPI","Ciprofloxacin_Metformin",4.5,1,1,6.5,3.75,"0",0,2734.2797,1367.1398,"Ciprofloxacin","Metformin","Ciprofloxacin-Metformin","CIP","MF",0,"quinolones","human drug","human drug-quinolones",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.055967669,0.045361739,0.061566995,-0.040416429,-0.21799237,0.110213492,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,6,0.00251544903749316,"Additivity-Synergy","connected"
"Similar phylogenetic profiles","Ciprofloxacin_Metformin",3.5,2,2,8,5,"0",0,22.5137,11.2569,"Ciprofloxacin","Metformin","Ciprofloxacin-Metformin","CIP","MF",0,"quinolones","human drug","human drug-quinolones",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.055967669,0.045361739,0.061566995,-0.040416429,-0.21799237,0.110213492,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,6,0.00251544903749316,"Additivity-Synergy","connected"
"Similar genomic context","Ciprofloxacin_Metformin",2.5,19,19,24,21.5,"0",8768.4605,13845.7438,11307.1021,"Ciprofloxacin","Metformin","Ciprofloxacin-Metformin","CIP","MF",0,"quinolones","human drug","human drug-quinolones",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.055967669,0.045361739,0.061566995,-0.040416429,-0.21799237,0.110213492,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,6,0.00251544903749316,"Additivity-Synergy","connected"
"High-throughput PPI","Ciprofloxacin_Metformin",2,32.5,32.5,37,34.75,"0",24358.7335,38579.8729,31469.3032,"Ciprofloxacin","Metformin","Ciprofloxacin-Metformin","CIP","MF",0,"quinolones","human drug","human drug-quinolones",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.055967669,0.045361739,0.061566995,-0.040416429,-0.21799237,0.110213492,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,6,0.00251544903749316,"Additivity-Synergy","connected"
"Co-expression","Ciprofloxacin_Metformin",3,33,33,55,44,"0",1962.5478,8463.6673,5213.1076,"Ciprofloxacin","Metformin","Ciprofloxacin-Metformin","CIP","MF",0,"quinolones","human drug","human drug-quinolones",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.055967669,0.045361739,0.061566995,-0.040416429,-0.21799237,0.110213492,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,6,0.00251544903749316,"Additivity-Synergy","connected"
"EN:allnetworks","Ciprofloxacin_Metformin",2,47,47,59,53,"0",3253.8245,4952.6295,4103.227,"Ciprofloxacin","Metformin","Ciprofloxacin-Metformin","CIP","MF",0,"quinolones","human drug","human drug-quinolones",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.055967669,0.045361739,0.061566995,-0.040416429,-0.21799237,0.110213492,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,6,0.00251544903749316,"Additivity-Synergy","connected"
"Small/medium-scale PPI","Ciprofloxacin_Moxifloxacin",5.4,1,1,7.6,4.3,"1",0,3281.1356,1640.5678,"Ciprofloxacin","Moxifloxacin","Ciprofloxacin-Moxifloxacin","CIP","MXF",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.205858821,-0.194320072,-0.153596824,-0.17605085,0.047420502,-0.236371412,"Synergy","Additivity","Additivity","Additivity","Additivity","Synergy",-1,0,0,0,0,-1,-2,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,14,0.00784670396122041,"Additivity-Synergy","connected"
"Similar phylogenetic profiles","Ciprofloxacin_Moxifloxacin",2,6.2,6.2,10.2,8.2,"0",16.361,36.6155,26.4882,"Ciprofloxacin","Moxifloxacin","Ciprofloxacin-Moxifloxacin","CIP","MXF",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.205858821,-0.194320072,-0.153596824,-0.17605085,0.047420502,-0.236371412,"Synergy","Additivity","Additivity","Additivity","Additivity","Synergy",-1,0,0,0,0,-1,-2,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Ciprofloxacin_Moxifloxacin",1.4,8.8,8.8,20,14.4,"1",679.1448,1165.2648,922.2048,"Ciprofloxacin","Moxifloxacin","Ciprofloxacin-Moxifloxacin","CIP","MXF",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.205858821,-0.194320072,-0.153596824,-0.17605085,0.047420502,-0.236371412,"Synergy","Additivity","Additivity","Additivity","Additivity","Synergy",-1,0,0,0,0,-1,-2,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","Ciprofloxacin_Moxifloxacin",1.4,8.8,8.8,20,14.4,"1",503.4698,1000.881,752.1754,"Ciprofloxacin","Moxifloxacin","Ciprofloxacin-Moxifloxacin","CIP","MXF",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.205858821,-0.194320072,-0.153596824,-0.17605085,0.047420502,-0.236371412,"Synergy","Additivity","Additivity","Additivity","Additivity","Synergy",-1,0,0,0,0,-1,-2,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-expression","Ciprofloxacin_Moxifloxacin",2.2,16.2,16.2,57.4,36.8,"1",1787.4895,8989.9154,5388.7024,"Ciprofloxacin","Moxifloxacin","Ciprofloxacin-Moxifloxacin","CIP","MXF",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.205858821,-0.194320072,-0.153596824,-0.17605085,0.047420502,-0.236371412,"Synergy","Additivity","Additivity","Additivity","Additivity","Synergy",-1,0,0,0,0,-1,-2,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,14,0.00784670396122041,"Additivity-Synergy","connected"
"Similar genomic context","Ciprofloxacin_Moxifloxacin",1.4,23.4,23.4,28.2,25.8,"1",13378.712,17083.4042,15231.0581,"Ciprofloxacin","Moxifloxacin","Ciprofloxacin-Moxifloxacin","CIP","MXF",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.205858821,-0.194320072,-0.153596824,-0.17605085,0.047420502,-0.236371412,"Synergy","Additivity","Additivity","Additivity","Additivity","Synergy",-1,0,0,0,0,-1,-2,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,14,0.00784670396122041,"Additivity-Synergy","connected"
"High-throughput PPI","Ciprofloxacin_Moxifloxacin",1.4,23.6,24.4,37.4,30.9,"1",20469.9796,44736.2168,32603.0982,"Ciprofloxacin","Moxifloxacin","Ciprofloxacin-Moxifloxacin","CIP","MXF",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.205858821,-0.194320072,-0.153596824,-0.17605085,0.047420502,-0.236371412,"Synergy","Additivity","Additivity","Additivity","Additivity","Synergy",-1,0,0,0,0,-1,-2,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,14,0.00784670396122041,"Additivity-Synergy","connected"
"EN:allnetworks","Ciprofloxacin_Moxifloxacin",1.2,44.4,44.4,60.8,52.6,"1",3606.5007,5645.0667,4625.7837,"Ciprofloxacin","Moxifloxacin","Ciprofloxacin-Moxifloxacin","CIP","MXF",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.205858821,-0.194320072,-0.153596824,-0.17605085,0.047420502,-0.236371412,"Synergy","Additivity","Additivity","Additivity","Additivity","Synergy",-1,0,0,0,0,-1,-2,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,14,0.00784670396122041,"Additivity-Synergy","connected"
"Small/medium-scale PPI","Ciprofloxacin_Novobiocin",1,1,1,12,6.5,"1",0,5468.5594,2734.2797,"Ciprofloxacin","Novobiocin","Ciprofloxacin-Novobiocin","CIP","NVB",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.066018881,-0.057869103,-0.064854244,0.067427394,-0.080848402,-0.050312995,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","R","S","R","R","SS","SS","SR","SS","SR","SR",-1,-1,0,-1,0,0,-3,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,5,0.000722353331276633,"Additivity","connected"
"Similar phylogenetic profiles","Ciprofloxacin_Novobiocin",2,5,5,11,8,"0",12.2591,32.7683,22.5137,"Ciprofloxacin","Novobiocin","Ciprofloxacin-Novobiocin","CIP","NVB",1,"quinolones","quinolones","quinolones-quinolones",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.066018881,-0.057869103,-0.064854244,0.067427394,-0.080848402,-0.050312995,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","R","S","R","R","SS","SS","SR","SS","SR","SR",-1,-1,0,-1,0,0,-3,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,5,0.000722353331276633,"Additivity","connected"
