"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1","Drug2","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","processprocess","us","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","connection_onoff"
"High-throughput PPI","Cephalexin_Meropenem",3.5333,6.8667,6.9333,32.4,19.6667,"0","Cephalexin","Meropenem","LEX","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",-0.066057652,-0.094180473,0.01418939,-0.126460738,0.02825758,0.043693364,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,0.08,0.04,0.08,0.04,1,0.25,"connected"
"High-throughput PPI","Cephalexin_Metformin",3,12,12.1667,40.5,26.3333,"0","Cephalexin","Metformin","LEX","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug","cell wall-human",0,"antibiotic-human-targeted drug",0.050253855,0.021236658,0.01968194,0.045131702,-0.025486956,-0.03352575,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,12916,12916,38748,38748,25832,25832,"connected"
"High-throughput PPI","Cephalexin_Moxifloxacin",3,11.3333,11.5833,37.5833,24.5833,"0","Cephalexin","Moxifloxacin","LEX","MXF","beta-lactam","quinolones","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.03434714,-0.034859472,0.056214212,0.034599098,-0.036136619,-0.116638177,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","R","S","RS","RS","RS","RS","RR","RS",0,0,0,0,1,0,1,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,0.08,0.08,0.08,0.08,0.5,0.5,"connected"
"High-throughput PPI","Cephalexin_Novobiocin",2.8333,12.5833,12.75,43.4167,28.0833,"0","Cephalexin","Novobiocin","LEX","NVB","beta-lactam","quinolones","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.041034468,-0.036212663,-0.044193903,-0.033976405,-0.039567105,0.028739961,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","R","S","R","R","RS","RS","RR","RS","RR","RR",0,0,1,0,1,1,3,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,20,20,20,20,20,20,"connected"
"High-throughput PPI","Cephalexin_Penicillin G",3.5333,6.8667,6.9333,32.4,19.6667,"0","Cephalexin","Penicillin G","LEX","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",0.050012293,0.048796852,-0.069323225,-0.049739346,-0.056618085,0.017535041,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","S","S","S","R","R","RR","RS","RS","RS","RR","RR",1,0,0,0,1,1,3,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,5,5,1.25,1.25,10,10,"connected"
"High-throughput PPI","Cephalexin_Piperacillin",3.5333,6.8667,6.9333,32.4,19.6667,"0","Cephalexin","Piperacillin","LEX","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",0.055633476,0.059136962,-0.099882801,-0.059559677,0.147661201,0.030978977,"Additivity","Antagonism","Additivity",0,0,0,0,1,0,1,"R","R","R","R","R","R","R","S","S","S","S","S","RR","RS","RS","RS","RS","RS",1,0,0,0,0,0,1,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,0.3,0.3,1,1,2,3,"connected"
"High-throughput PPI","Cephalexin_Rifampicin",2.6667,19.5,19.6667,99,59.3333,"0","Cephalexin","Rifampicin","LEX","RIF","beta-lactam","RNA polymerase","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.038268879,0.059793209,-0.04485487,-0.059370062,0.119557235,0.026122388,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","R","RS","RS","RS","RS","RS","RR",0,0,0,0,0,1,1,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,8,8,8,8,16,20,"connected"
"High-throughput PPI","Cephalexin_Sulfamonomethoxine",5.3333,1,1,19.6667,10.3333,"0","Cephalexin","Sulfamonomethoxine","LEX","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.040759134,-0.035577612,-0.071575537,-0.056276223,0.033680956,-0.02930043,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,50,50,50,50,100,100,"connected"
"High-throughput PPI","Cephalexin_Triclosan",3.3333,8.3333,8.5,22.1667,15.3333,"0","Cephalexin","Triclosan","LEX","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective","cell wall-membrane",0,"anti-infective-antibiotic",-0.024966915,-0.0224646,-0.056234661,-0.036972152,-0.022545978,0.040141169,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,0.04,0.04,0.04,0.04,0.04,0.04,"connected"
"High-throughput PPI","Cephalexin_Trimethoprim",4,7.1667,7.8333,20.8333,14.3333,"0","Cephalexin","Trimethoprim","LEX","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.097480549,-0.054457577,0.058105158,0.028229181,-0.04210187,0.029393492,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","R","R","RS","RS","RS","RS","RR","RR",0,0,0,0,1,1,2,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,0.5,0.5,0.5,0.5,1,1,"connected"
"High-throughput PPI","Ciprofloxacin_Clindamycin",2,36.5,36.5,81,58.75,"0","Ciprofloxacin","Clindamycin","CIP","CLI","quinolones","other protein synthesis inhibitor","DNA","protein synthesis inhibitor","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",0.054108179,0.104189278,0.05012452,0.066002113,0.032018336,0.020150367,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","R","R","S","S","R","R","SR","SR","SS","SS","SR","SR",0,0,-1,-1,0,0,-2,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,2,2,2,2,2,2,"connected"
"High-throughput PPI","Ciprofloxacin_Doxycycline",2,36.5,36.5,140,88.25,"0","Ciprofloxacin","Doxycycline","CIP","DOX","quinolones","tetracycline","DNA","protein synthesis inhibitor","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",0.210562533,0.328870631,0.209147661,0.226725942,0.035575153,0.380423599,"Additivity","Additivity","Antagonism",0,1,1,1,0,1,4,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.5,0.5,1,1,4,4,"connected"
"High-throughput PPI","Ciprofloxacin_Fosfomycin",3,11,11,36.5,23.75,"0","Ciprofloxacin","Fosfomycin","CIP","FOF","quinolones","other cell wall","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.161019673,0.16766855,0.121430447,-0.073132088,-0.368951072,-0.025025307,"Antagonism","Synergy","Additivity",1,1,0,0,-1,0,1,"S","S","S","S","S","S","S","S","S","R","S","S","SS","SS","SS","SR","SS","SS",-1,-1,-1,0,-1,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.1,0.1,0.05,0.05,15,5,"connected"
"High-throughput PPI","Ciprofloxacin_Fusidic acid",3,5,5,36.5,20.75,"0","Ciprofloxacin","Fusidic acid","CIP","FUS","quinolones","other protein synthesis inhibitor","DNA","protein synthesis inhibitor","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",0.112245621,0.10499144,0.244248262,0.066605937,0.074183826,0.036602102,"Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","S","S","S","S","R","R","R","R","SS","SS","SR","SR","SR","SR",-1,-1,0,0,0,0,-2,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,100,100,100,100,100,100,"connected"
"High-throughput PPI","Ciprofloxacin_Imipenem",2.8333,12.5833,12.75,43.4167,28.0833,"0","Ciprofloxacin","Imipenem","CIP","IPM","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.089881439,0.052290926,0.207959219,0.050005023,0.123300732,0.053531839,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.125,0.125,0.125,0.125,3,0.75,"connected"
"High-throughput PPI","Ciprofloxacin_Levofloxacin",1.4,23.6,24.4,37.4,30.9,"1","Ciprofloxacin","Levofloxacin","CIP","LCX","quinolones","DNA gyrase","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",-0.02880967,0,-0.271589594,-0.007568607,-0.095595713,0,"Additivity","Synergy","Additivity",0,-1,-1,-1,-1,0,-4,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.04,0.04,0.08,0.08,2,0.5,"connected"
"High-throughput PPI","Ciprofloxacin_Mecillinam",2,9,9,36.5,22.75,"0","Ciprofloxacin","Mecillinam","CIP","MEC","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.113580197,0.012282155,0.109783579,0.100328221,0.060772022,0.080182457,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.06,0.06,0.06,0.06,2,2,"connected"
"High-throughput PPI","Ciprofloxacin_Meropenem",2.8333,12.5833,12.75,43.4167,28.0833,"0","Ciprofloxacin","Meropenem","CIP","MEM","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.108392467,-0.056275244,-0.048144659,0.05291237,0.062539444,0.136470209,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,"connected"
"High-throughput PPI","Ciprofloxacin_Metformin",2,32.5,32.5,37,34.75,"0","Ciprofloxacin","Metformin","CIP","MF","quinolones","human drug","DNA","human","antibiotic","human-targeted drug","DNA-human",0,"antibiotic-human-targeted drug",0.055967669,0.045361739,0.061566995,-0.040416429,-0.21799237,0.110213492,"Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,12916,12916,38748,38748,25832,25832,"connected"
"High-throughput PPI","Ciprofloxacin_Moxifloxacin",1.4,23.6,24.4,37.4,30.9,"1","Ciprofloxacin","Moxifloxacin","CIP","MXF","quinolones","quinolones","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",-0.205858821,-0.194320072,-0.153596824,-0.17605085,0.047420502,-0.236371412,"Synergy","Additivity","Synergy",-1,0,0,0,0,-1,-2,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,"connected"
"High-throughput PPI","Ciprofloxacin_Novobiocin",1,32,32,41,36.5,"1","Ciprofloxacin","Novobiocin","CIP","NVB","quinolones","quinolones","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",-0.066018881,-0.057869103,-0.064854244,0.067427394,-0.080848402,-0.050312995,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","R","S","R","R","SS","SS","SR","SS","SR","SR",-1,-1,0,-1,0,0,-3,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,20,20,20,20,20,20,"connected"
"High-throughput PPI","Ciprofloxacin_Penicillin G",2.8333,12.5833,12.75,43.4167,28.0833,"0","Ciprofloxacin","Penicillin G","CIP","PEN","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.046470408,0.100093811,0.146711016,0.070763266,0.091695922,0.051641314,"Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","S","S","R","S","S","S","R","R","SR","SS","SS","SS","SR","SR",0,-1,-1,-1,0,0,-3,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,5,5,1.25,1.25,10,10,"connected"
"High-throughput PPI","Ciprofloxacin_Piperacillin",2.8333,12.5833,12.75,43.4167,28.0833,"0","Ciprofloxacin","Piperacillin","CIP","PIP","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.103971785,-0.105669288,-0.077545915,0.061773543,-0.124643756,0.116246564,"Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","R","S","S","S","S","S","SR","SS","SS","SS","SS","SS",0,-1,-1,-1,-1,-1,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.3,0.3,1,1,2,3,"connected"
"High-throughput PPI","Ciprofloxacin_Rifampicin",2,36.5,36.5,99,67.75,"0","Ciprofloxacin","Rifampicin","CIP","RIF","quinolones","RNA polymerase","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",0.211729475,0.224904361,-0.184551634,0.121953175,0.171186491,0.119645547,"Antagonism","Antagonism","Antagonism",1,1,-1,1,1,1,4,"S","S","S","S","S","S","S","S","S","S","S","R","SS","SS","SS","SS","SS","SR",-1,-1,-1,-1,-1,0,-5,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,8,8,8,8,16,20,"connected"
"High-throughput PPI","Ciprofloxacin_Sulfamonomethoxine",5,1,1,36.5,18.75,"0","Ciprofloxacin","Sulfamonomethoxine","CIP","SMM","quinolones","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",0.021078807,-0.04489015,0.029206223,0.037397767,-0.072632516,-0.01982475,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","R","R","R","R","R","R","SR","SR","SR","SR","SR","SR",0,0,0,0,0,0,0,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,50,50,50,50,100,100,"connected"
"High-throughput PPI","Ciprofloxacin_Triclosan",3,11,11,36.5,23.75,"0","Ciprofloxacin","Triclosan","CIP","TRI","quinolones","other membrane","DNA","membrane","antibiotic","anti-infective","DNA-membrane",0,"anti-infective-antibiotic",-0.071725305,-0.074017284,0.060508797,0.084222911,-0.079367244,-0.192979119,"Additivity","Additivity","Synergy",0,0,0,0,0,-1,-1,"S","S","S","S","S","S","R","R","R","R","R","R","SR","SR","SR","SR","SR","SR",0,0,0,0,0,0,0,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,"connected"
"High-throughput PPI","Ciprofloxacin_Trimethoprim",4,8,9,36.5,22.75,"0","Ciprofloxacin","Trimethoprim","CIP","TMP","quinolones","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",-0.094316586,0.132330419,-0.056155727,-0.06344734,-0.056818283,0.066843049,"Additivity","Additivity","Additivity",0,1,0,0,0,0,1,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,0.5,0.5,0.5,0.5,1,1,"connected"
"High-throughput PPI","Clindamycin_Doxycycline",1.5,81,81,140,110.5,"1","Clindamycin","Doxycycline","CLI","DOX","other protein synthesis inhibitor","tetracycline","protein synthesis inhibitor","protein synthesis inhibitor","antibiotic","antibiotic","protein synthesis inhibitor-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.148429,-0.1360569,0.0412255,-0.0570859,-0.02254232,0.02101247,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","S","S","R","S","RS","RS","SS","SS","RR","RS",0,0,-1,-1,1,0,-1,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,0.5,0.5,1,1,4,4,"connected"
"High-throughput PPI","Clindamycin_Fosfomycin",3,11,11,81,46,"0","Clindamycin","Fosfomycin","CLI","FOF","other protein synthesis inhibitor","other cell wall","protein synthesis inhibitor","cell wall","antibiotic","antibiotic","cell wall-protein synthesis inhibitor",1,"antibiotic-antibiotic",0.1061437,0.1769286,0.0625382,-0.05784955,0.02099126,0.05032404,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","S","R","S","S","RS","RS","SS","SR","RS","RS",0,0,-1,0,0,0,-1,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,0.1,0.1,0.05,0.05,15,5,"connected"
"High-throughput PPI","Clindamycin_Fusidic acid",3,5,5,81,43,"0","Clindamycin","Fusidic acid","CLI","FUS","other protein synthesis inhibitor","other protein synthesis inhibitor","protein synthesis inhibitor","protein synthesis inhibitor","antibiotic","antibiotic","protein synthesis inhibitor-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.07555504,-0.0932551,0.07140417,-0.05348041,0.04016792,0.06876392,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","R","R","R","R","RS","RS","SR","SR","RR","RR",0,0,0,0,1,1,2,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,100,100,100,100,100,100,"connected"
"High-throughput PPI","Clindamycin_Imipenem",2.5,19.5,19.6667,81,50.3333,"1","Clindamycin","Imipenem","CLI","IPM","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic","cell wall-protein synthesis inhibitor",1,"antibiotic-antibiotic",0.06749742,0.03753723,0.06301455,-0.0515536,-0.04136273,-0.03328094,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","S","S","S","S","RS","RS","SS","SS","RS","RS",0,0,-1,-1,0,0,-2,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,0.125,0.125,0.125,0.125,3,0.75,"connected"
"High-throughput PPI","Clindamycin_Levofloxacin",2,29,29.5,81,55.25,"0","Clindamycin","Levofloxacin","CLI","LCX","other protein synthesis inhibitor","DNA gyrase","protein synthesis inhibitor","DNA","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.02679145,0.05651393,0.03780629,0.01805664,0.0495159,0,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","S","S","S","S","RS","RS","SS","SS","RS","RS",0,0,-1,-1,0,0,-2,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,0.04,0.04,0.08,0.08,2,0.5,"connected"
"High-throughput PPI","Clindamycin_Mecillinam",2,9,9,81,45,"0","Clindamycin","Mecillinam","CLI","MEC","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic","cell wall-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.08067511,0.01092689,0.05162759,-0.05030455,-0.03298854,-0.05621736,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","S","S","R","R","RS","RS","SS","SS","RR","RR",0,0,-1,-1,1,1,0,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,0.06,0.06,0.06,0.06,2,2,"connected"
"High-throughput PPI","Clindamycin_Meropenem",2.5,19.5,19.6667,81,50.3333,"1","Clindamycin","Meropenem","CLI","MEM","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic","cell wall-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.07242736,0.07702682,-0.03441598,0.06766984,0.07267339,0.03902619,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","S","S","S","S","RS","RS","SS","SS","RS","RS",0,0,-1,-1,0,0,-2,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,0.08,0.04,0.08,0.04,1,0.25,"connected"
"High-throughput PPI","Clindamycin_Metformin",2,33,33,81,57,"0","Clindamycin","Metformin","CLI","MF","other protein synthesis inhibitor","human drug","protein synthesis inhibitor","human","antibiotic","human-targeted drug","human-protein synthesis inhibitor",0,"antibiotic-human-targeted drug",0.06006581,0.08184653,0.05458473,0.1024376,0.02523891,0.01844164,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","S","S","S","S","RS","RS","SS","SS","RS","RS",0,0,-1,-1,0,0,-2,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,12916,12916,38748,38748,25832,25832,"connected"
"High-throughput PPI","Clindamycin_Moxifloxacin",2,29,29.5,81,55.25,"0","Clindamycin","Moxifloxacin","CLI","MXF","other protein synthesis inhibitor","quinolones","protein synthesis inhibitor","DNA","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.01953487,-0.03317784,0.05299043,-0.0721729,0.02778972,0.01837888,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","S","S","R","S","RS","RS","SS","SS","RR","RS",0,0,-1,-1,1,0,-1,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,0.08,0.08,0.08,0.08,0.5,0.5,"connected"
"High-throughput PPI","Clindamycin_Novobiocin",2,36.5,36.5,81,58.75,"0","Clindamycin","Novobiocin","CLI","NVB","other protein synthesis inhibitor","quinolones","protein synthesis inhibitor","DNA","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.03191593,0.08266349,0.07380934,-0.04990603,0.03343636,0.04421,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","R","S","R","R","RS","RS","SR","SS","RR","RR",0,0,0,-1,1,1,1,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,20,20,20,20,20,20,"connected"
"High-throughput PPI","Clindamycin_Penicillin G",2.5,19.5,19.6667,81,50.3333,"1","Clindamycin","Penicillin G","CLI","PEN","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic","cell wall-protein synthesis inhibitor",1,"antibiotic-antibiotic",0.055056,0.03954618,0.05689279,0.0850104,-0.07480325,-0.03768255,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","R","S","S","S","R","R","RR","RS","SS","SS","RR","RR",1,0,-1,-1,1,1,1,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,5,5,1.25,1.25,10,10,"connected"
"High-throughput PPI","Clindamycin_Piperacillin",2.5,19.5,19.6667,81,50.3333,"1","Clindamycin","Piperacillin","CLI","PIP","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic","cell wall-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.08202569,-0.1269967,0.09500399,0.05972777,0.06820833,0.02341057,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","R","S","S","S","S","S","RR","RS","SS","SS","RS","RS",1,0,-1,-1,0,0,-1,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,0.3,0.3,1,1,2,3,"connected"
"High-throughput PPI","Clindamycin_Rifampicin",1.5,81,81,99,90,"1","Clindamycin","Rifampicin","CLI","RIF","other protein synthesis inhibitor","RNA polymerase","protein synthesis inhibitor","DNA","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.08007165,-0.04212623,0.02553381,-0.03867226,0.07499642,-0.05622255,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","S","S","S","S","S","R","RS","RS","SS","SS","RS","RR",0,0,-1,-1,0,1,-1,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,8,8,8,8,16,20,"connected"
"High-throughput PPI","Clindamycin_Sulfamonomethoxine",4,1,1,81,41,"0","Clindamycin","Sulfamonomethoxine","CLI","SMM","other protein synthesis inhibitor","folic acid biosynthesis","protein synthesis inhibitor","DNA","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.05572611,0.03588368,0.0365556,0.06651262,0.04399356,0.03202273,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","S","S","R","R","R","R","R","R","R","R","RR","RR","SR","SR","RR","RR",1,1,0,0,1,1,4,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,50,50,50,50,100,100,"connected"
