"boundaryCondition","chebi","compartmentCode","constant","cyId","derivedUnits","ec-code","exponent","fast","go","iJO1366","isbn","kegg.compound","kegg.genes","kind","kineticLaw","label","math","metaId","multiplier","name","reversible","sbml compartment","sbml id","sbml initial concentration","sbml type","sbml type ext","sbo","scale","selected","shared name","size","uniprot","units","unitSid","value"
"true",,"1","true","meta_e_0765","substance",,,,,,,,"eco:b2436",,,"hemF",,"meta_e_0765",,"hemF",,"cell","e_0765","0.001","species","species","SBO:0000252",,"false","hemF",,"P36553",,,"0.001"
,,,,"_42115d04_5c86_4497_94b8_ec74bdc070d9","invalid",,,"false",,,,,,,"cell*r_1277_Vmax*(s_0575*s_0861^2-s_0731*s_0862^2/r_1277_Keq)/(r_1277_Km0575*r_1277_Km0861^2)/(((1+s_0575/r_1277_Km0575)*(1+s_0861/r_1277_Km0861)^2+(1+s_0731/r_1277_Km0731)*(1+s_0862/r_1277_Km0862)^2)-1)","ribonucleoside-triphosphate reductase (CTP) (flavodoxin)",,"_42115d04_5c86_4497_94b8_ec74bdc070d9",,"ribonucleoside-triphosphate reductase (CTP) (flavodoxin)","true",,"r_1277",,"reaction","reaction reversible","SBO:0000176",,"false","ribonucleoside-triphosphate reductase (CTP) (flavodoxin)",,,,,
,,,,"e3a4eb1f_1482_48f5_95f7_6e29d5e23d69","invalid",,,"false",,,,,,,"cell*r_1621_Vmax*(s_0659-s_0657)/r_1621_Km0659/((1+s_0659/r_1621_Km0659+1+s_0657/r_1621_Km0657)-1)","D-glucose transport via diffusion (extracellular to periplasm) irreversible",,"e3a4eb1f_1482_48f5_95f7_6e29d5e23d69",,"D-glucose transport via diffusion (extracellular to periplasm) irreversible","true",,"r_1621",,"reaction","reaction reversible","SBO:0000185",,"false","D-glucose transport via diffusion (extracellular to periplasm) irreversible",,,,,
,,,,"meta_r_1204","invalid","3.5.4.19",,"false",,,,,,,"cell*r_1204_Vmax*(s_0098-s_0097/r_1204_Keq)/r_1204_Km0098/((1+s_0098/r_1204_Km0098+1+s_0097/r_1204_Km0097)-1)","phosphoribosyl-AMP cyclohydrolase",,"meta_r_1204",,"phosphoribosyl-AMP cyclohydrolase","true",,"r_1204",,"reaction","reaction reversible","SBO:0000176",,"false","phosphoribosyl-AMP cyclohydrolase",,,,,
,"CHEBI:58435","1",,"meta_s_0097","substance",,,,,"M_prfp_c",,"C04896",,,,"1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide",,"meta_s_0097",,"1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide",,"cell","s_0097","0.1","species","species","SBO:0000247",,"false","1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide",,,,,"0.1"
,"CHEBI:17976","1",,"meta_s_1731","substance",,,,,"M_q8h2_c",,"C00390",,,,"Ubiquinol-8",,"meta_s_1731",,"Ubiquinol-8",,"cell","s_1731","0.1","species","species","SBO:0000247",,"false","Ubiquinol-8",,,,,"0.1"
,"CHEBI:16389","1",,"meta_s_1732","substance",,,,,"M_q8_c",,"C00399",,,,"Ubiquinone-8",,"meta_s_1732",,"Ubiquinone-8",,"cell","s_1732","0.1","species","species","SBO:0000247",,"false","Ubiquinone-8",,,,,"0.1"
,,,,"meta_r_1039","invalid","2.7.4.6",,"false",,,,,,,"cell*r_1039_Vmax*(s_0467*s_0510-s_0421*s_0575/r_1039_Keq)/(r_1039_Km0467*r_1039_Km0510)/(((1+s_0467/r_1039_Km0467)*(1+s_0510/r_1039_Km0510)+(1+s_0421/r_1039_Km0421)*(1+s_0575/r_1039_Km0575))-1)","nucleoside-diphosphate kinase (ATP:CDP)",,"meta_r_1039",,"nucleoside-diphosphate kinase (ATP:CDP)","true",,"r_1039",,"reaction","reaction reversible","SBO:0000176",,"false","nucleoside-diphosphate kinase (ATP:CDP)",,,,,
,,,,"meta_r_0292","invalid","2.7.1.20",,"false",,,,,,,"cell*r_0292_Vmax*(s_0408*s_0467-s_0421*s_0454/r_0292_Keq)/(r_0292_Km0408*r_0292_Km0467)/(((1+s_0408/r_0292_Km0408)*(1+s_0467/r_0292_Km0467)+(1+s_0421/r_0292_Km0421)*(1+s_0454/r_0292_Km0454))-1)","adenosine kinase",,"meta_r_0292",,"adenosine kinase","true",,"r_0292",,"reaction","reaction reversible","SBO:0000176",,"false","adenosine kinase",,,,,
,,,,"meta_r_0576","invalid",,,"false",,,,,,,"cell*r_0576_Vmax*(s_0859*s_1334-s_0860*s_1333/r_0576_Keq)/(r_0576_Km0859*r_0576_Km1334)/(((1+s_0859/r_0576_Km0859)*(1+s_1334/r_0576_Km1334)+(1+s_0860/r_0576_Km0860)*(1+s_1333/r_0576_Km1333))-1)","FAD reductase",,"meta_r_0576",,"FAD reductase","true",,"r_0576",,"reaction","reaction reversible","SBO:0000176",,"false","FAD reductase",,,,,
,"CHEBI:58307","1",,"meta_s_0860","substance",,,,,"M_fadh2_c",,"C01352",,,,"Flavin adenine dinucleotide reduced",,"meta_s_0860",,"Flavin adenine dinucleotide reduced",,"cell","s_0860","0.1","species","species","SBO:0000247",,"false","Flavin adenine dinucleotide reduced",,,,,"0.1"
"true",,"1","true","meta_e_1201","substance",,,,,,,,"eco:b3844",,,"fre",,"meta_e_1201",,"fre",,"cell","e_1201","0.001","species","species","SBO:0000252",,"false","fre",,"P0AEN1",,,"0.001"
,,,,"meta_r_1223","invalid","4.2.1.24",,"false",,,,,,,"cell*r_1223_Vmax*(s_0345^2-s_1493/r_1223_Keq)/r_1223_Km0345^2/(((1+s_0345/r_1223_Km0345)^2+1+s_1493/r_1223_Km1493)-1)","porphobilinogen synthase",,"meta_r_1223",,"porphobilinogen synthase","true",,"r_1223",,"reaction","reaction reversible","SBO:0000176",,"false","porphobilinogen synthase",,,,,
"true",,"1","true","meta_e_0134","substance",,,,,,,,"eco:b0369",,,"hemB",,"meta_e_0134",,"hemB",,"cell","e_0134","0.001","species","species","SBO:0000252",,"false","hemB",,"P0ACB2",,,"0.001"
,"CHEBI:17549","1",,"meta_s_0345","substance",,,,,"M_5aop_c",,"C00430",,,,"5-Amino-4-oxopentanoate",,"meta_s_0345",,"5-Amino-4-oxopentanoate",,"cell","s_0345","0.1","species","species","SBO:0000247",,"false","5-Amino-4-oxopentanoate",,,,,"0.1"
,,,,"meta_r_0054","invalid",,,"false",,,,,,,"cell*r_0054_Vmax*(s_0194*s_0575-s_0312*s_0783/r_0054_Keq)/(r_0054_Km0194*r_0054_Km0575)/(((1+s_0194/r_0054_Km0194)*(1+s_0575/r_0054_Km0575)+(1+s_0312/r_0054_Km0312)*(1+s_0783/r_0054_Km0783))-1)","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase",,"meta_r_0054",,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","true",,"r_0054",,"reaction","reaction reversible","SBO:0000176",,"false","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase",,,,,
,"CHEBI:57823","1",,"meta_s_0312","substance",,,,,"M_4c2me_c",,"C11435",,,,"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol",,"meta_s_0312",,"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol",,"cell","s_0312","0.1","species","species","SBO:0000247",,"false","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol",,,,,"0.1"
,"CHEBI:58262","1",,"meta_s_0194","substance",,,,,"M_2me4p_c",,"C11434",,,,"2-C-methyl-D-erythritol 4-phosphate",,"meta_s_0194",,"2-C-methyl-D-erythritol 4-phosphate",,"cell","s_0194","0.1","species","species","SBO:0000247",,"false","2-C-methyl-D-erythritol 4-phosphate",,,,,"0.1"
"true",,"1","true","meta_e_0867","substance",,,,,,,,"eco:b2747",,,"ispD",,"meta_e_0867",,"ispD",,"cell","e_0867","0.001","species","species","SBO:0000252",,"false","ispD",,"Q46893",,,"0.001"
,,,,"_3458757c_e65b_41bf_a8b5_03222c801145","invalid",,,"false",,,,,,,"cell*r_2533_Vmax*s_0003/r_2533_Km0003/(1+s_0003/r_2533_Km0003)","Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system",,"_3458757c_e65b_41bf_a8b5_03222c801145",,"Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system","false",,"r_2533",,"reaction","reaction irreversible","SBO:0000185",,"false","Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system",,,,,
,,,,"meta_r_0504","invalid","1.5.1.3",,"false",,,,,,,"cell*r_0504_Vmax*(s_0372*s_1336-s_1335*s_0337/r_0504_Keq)/(r_0504_Km0372*r_0504_Km1336)/(((1+s_0372/r_0504_Km0372)*(1+s_1336/r_0504_Km1336)+(1+s_1335/r_0504_Km1335)*(1+s_0337/r_0504_Km0337))-1)","dihydrofolate reductase",,"meta_r_0504",,"dihydrofolate reductase","true",,"r_0504",,"reaction","reaction reversible","SBO:0000176",,"false","dihydrofolate reductase",,,,,
"true",,"1","true","meta_e_0020","substance",,,,,,,,"eco:b0048",,,"folA",,"meta_e_0020",,"folA",,"cell","e_0020","0.001","species","species","SBO:0000252",,"false","folA",,"P0ABQ4",,,"0.001"
"true",,"1","true","meta_e_0514","substance",,,,,,,,"eco:b1606",,,"folM",,"meta_e_0514",,"folM",,"cell","e_0514","0.001","species","species","SBO:0000252",,"false","folM",,"P0AFS3",,,"0.001"
,,,,"meta_r_0145","invalid","4.2.1.59",,"false",,,,,,,"cell*r_0145_Vmax*(s_0276-s_0812/r_0145_Keq)/r_0145_Km0276/((1+s_0276/r_0145_Km0276+1+s_0812/r_0145_Km0812)-1)","3-Oxo-glutaryl-[ACP] methyl ester dehydratase",,"meta_r_0145",,"3-Oxo-glutaryl-[ACP] methyl ester dehydratase","true",,"r_0145",,"reaction","reaction reversible","SBO:0000176",,"false","3-Oxo-glutaryl-[ACP] methyl ester dehydratase",,,,,
,,"1",,"e99f143d_9b2c_4561_9bd8_8d825bd08b16","substance",,,,,"M_egmeACP_c",,,,,,"Enoylglutaryl-[acyl-carrier protein] methyl ester",,"e99f143d_9b2c_4561_9bd8_8d825bd08b16",,"Enoylglutaryl-[acyl-carrier protein] methyl ester",,"cell","s_0812","0.1","species","species","SBO:0000247",,"false","Enoylglutaryl-[acyl-carrier protein] methyl ester",,,,,"0.1"
,,,,"meta_r_0212","invalid","1.1.1.193",,"false",,,,,,,"cell*r_0212_Vmax*(s_0347*s_1336-s_0346*s_1335/r_0212_Keq)/(r_0212_Km0347*r_0212_Km1336)/(((1+s_0347/r_0212_Km0347)*(1+s_1336/r_0212_Km1336)+(1+s_0346/r_0212_Km0346)*(1+s_1335/r_0212_Km1335))-1)","5-amino-6-(5-phosphoribosylamino)uracil reductase",,"meta_r_0212",,"5-amino-6-(5-phosphoribosylamino)uracil reductase","true",,"r_0212",,"reaction","reaction reversible","SBO:0000176",,"false","5-amino-6-(5-phosphoribosylamino)uracil reductase",,,,,
,"CHEBI:58421","1",,"meta_s_0346","substance",,,,,"M_5aprbu_c",,"C04454",,,,"5-Amino-6-(5'-phosphoribitylamino)uracil",,"meta_s_0346",,"5-Amino-6-(5'-phosphoribitylamino)uracil",,"cell","s_0346","0.1","species","species","SBO:0000247",,"false","5-Amino-6-(5'-phosphoribitylamino)uracil",,,,,"0.1"
"true",,"1","true","meta_e_0144","substance",,,,,,,,"eco:b0414",,,"ribD",,"meta_e_0144",,"ribD",,"cell","e_0144","0.001","species","species","SBO:0000252",,"false","ribD",,"P25539",,,"0.001"
,"CHEBI:58453","1",,"meta_s_0347","substance",,,,,"M_5apru_c",,"C01268",,,,"5-Amino-6-(5'-phosphoribosylamino)uracil",,"meta_s_0347",,"5-Amino-6-(5'-phosphoribosylamino)uracil",,"cell","s_0347","0.1","species","species","SBO:0000247",,"false","5-Amino-6-(5'-phosphoribosylamino)uracil",,,,,"0.1"
,,,,"meta_r_0678","invalid","5.4.3.8",,"false",,,,,,,"cell*r_0678_Vmax*(s_1098-s_0345/r_0678_Keq)/r_0678_Km1098/((1+s_1098/r_0678_Km1098+1+s_0345/r_0678_Km0345)-1)","glutamate-1-semialdehyde aminotransferase",,"meta_r_0678",,"glutamate-1-semialdehyde aminotransferase","true",,"r_0678",,"reaction","reaction reversible","SBO:0000176",,"false","glutamate-1-semialdehyde aminotransferase",,,,,
"true",,"1","true","meta_e_0071","substance",,,,,,,,"eco:b0154",,,"hemL",,"meta_e_0071",,"hemL",,"cell","e_0071","0.001","species","species","SBO:0000252",,"false","hemL",,"P23893",,,"0.001"
,,,,"meta_r_0106","invalid","3.1.3.45",,"false",,,,,,,"cell*r_0106_Vmax*(s_0272-s_0271*s_1430/r_0106_Keq)/r_0106_Km0272/((1+s_0272/r_0106_Km0272+(1+s_0271/r_0106_Km0271)*(1+s_1430/r_0106_Km1430))-1)","3-deoxy-manno-octulosonate-8-phosphatase",,"meta_r_0106",,"3-deoxy-manno-octulosonate-8-phosphatase","true",,"r_0106",,"reaction","reaction reversible","SBO:0000176",,"false","3-deoxy-manno-octulosonate-8-phosphatase",,,,,
,"CHEBI:58368","1",,"meta_s_0272","substance",,,,,"M_kdo8p_c",,"C04478",,,,"3-Deoxy-D-manno-octulosonate 8-phosphate",,"meta_s_0272",,"3-Deoxy-D-manno-octulosonate 8-phosphate",,"cell","s_0272","0.1","species","species","SBO:0000247",,"false","3-Deoxy-D-manno-octulosonate 8-phosphate",,,,,"0.1"
"true",,"1","true","meta_e_0994","substance",,,,,,,,"eco:b3198",,,"kdsC",,"meta_e_0994",,"kdsC",,"cell","e_0994","0.001","species","species","SBO:0000252",,"false","kdsC",,"P0ABZ4",,,"0.001"
,"CHEBI:16064","1",,"meta_s_0271","substance",,,,,"M_kdo_c",,"C01187",,,,"3-Deoxy-D-manno-2-octulosonate",,"meta_s_0271",,"3-Deoxy-D-manno-2-octulosonate",,"cell","s_0271","0.1","species","species","SBO:0000247",,"false","3-Deoxy-D-manno-2-octulosonate",,,,,"0.1"
,,,,"meta_r_1081","invalid","2.6.1.58",,"false",,,"1555810845",,,,"cell*r_1081_Vmax*(s_1095*s_1429-s_0233*s_1151/r_1081_Keq)/(r_1081_Km1095*r_1081_Km1429)/(((1+s_1095/r_1081_Km1095)*(1+s_1429/r_1081_Km1429)+(1+s_0233/r_1081_Km0233)*(1+s_1151/r_1081_Km1151))-1)","phenylalanine transaminase",,"meta_r_1081",,"phenylalanine transaminase","true",,"r_1081",,"reaction","reaction reversible","SBO:0000176",,"false","phenylalanine transaminase",,,,,
,,,,"meta_r_0771","invalid","2.3.1.46",,"false",,,,,,,"cell*r_0771_Vmax*(s_1113*s_1599-s_0555*s_1367/r_0771_Keq)/(r_0771_Km1113*r_0771_Km1599)/(((1+s_1113/r_0771_Km1113)*(1+s_1599/r_0771_Km1599)+(1+s_0555/r_0771_Km0555)*(1+s_1367/r_0771_Km1367))-1)","homoserine O-succinyltransferase",,"meta_r_0771",,"homoserine O-succinyltransferase","true",,"r_0771",,"reaction","reaction reversible","SBO:0000176",,"false","homoserine O-succinyltransferase",,,,,
,"CHEBI:57661","1",,"meta_s_1367","substance",,,,,"M_suchms_c",,"C01118",,,,"O-Succinyl-L-homoserine",,"meta_s_1367",,"O-Succinyl-L-homoserine",,"cell","s_1367","0.1","species","species","SBO:0000247",,"false","O-Succinyl-L-homoserine",,,,,"0.1"
"true",,"1","true","meta_e_1259","substance",,,,,,,,"eco:b4013",,,"metA",,"meta_e_1259",,"metA",,"cell","e_1259","0.001","species","species","SBO:0000252",,"false","metA",,"P07623",,,"0.001"
,"CHEBI:15699","1",,"meta_s_1113","substance",,,,,"M_hom_DASH_L_c",,"C00263",,,,"L-Homoserine",,"meta_s_1113",,"L-Homoserine",,"cell","s_1113","0.1","species","species","SBO:0000247",,"false","L-Homoserine",,,,,"0.1"
,,,,"meta_r_1400","invalid","6.3.2.13",,"false",,,,,,,"cell*r_1400_Vmax*(s_1242*s_0467*s_1754-s_0421*s_1430*s_1752/r_1400_Keq)/(r_1400_Km1242*r_1400_Km0467*r_1400_Km1754)/(((1+s_1242/r_1400_Km1242)*(1+s_0467/r_1400_Km0467)*(1+s_1754/r_1400_Km1754)+(1+s_0421/r_1400_Km0421)*(1+s_1430/r_1400_Km1430)*(1+s_1752/r_1400_Km1752))-1)","UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",,"meta_r_1400",,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase","true",,"r_1400",,"reaction","reaction reversible","SBO:0000176",,"false","UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",,,,,
,"CHEBI:16488","1",,"meta_s_1242","substance",,,,,"M_26dap_DASH_M_c",,"C00680",,,,"meso-2,6-Diaminoheptanedioate",,"meta_s_1242",,"meso-2,6-Diaminoheptanedioate",,"cell","s_1242","0.1","species","species","SBO:0000247",,"false","meso-2,6-Diaminoheptanedioate",,,,,"0.1"
,"CHEBI:57968","1",,"meta_s_1754","substance",,,,,"M_uamag_c",,"C00692",,,,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate",,"meta_s_1754",,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate",,"cell","s_1754","0.1","species","species","SBO:0000247",,"false","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate",,,,,"0.1"
"true",,"1","true","meta_e_0037","substance",,,,,,,,"eco:b0085",,,"murE",,"meta_e_0037",,"murE",,"cell","e_0037","0.001","species","species","SBO:0000252",,"false","murE",,"P22188",,,"0.001"
,,,,"meta_r_1582","invalid",,,"false",,,,,,,"cell*r_1582_Vmax*(s_1372*s_1731-s_1732/r_1582_Keq)/(r_1582_Km1372*r_1582_Km1731)/(((1+s_1372/r_1582_Km1372)*(1+s_1731/r_1582_Km1731)+1+s_1732/r_1582_Km1732)-1)","cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)",,"meta_r_1582",,"cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)","true",,"r_1582",,"reaction","reaction reversible","SBO:0000176",,"false","cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)",,,,,
,,,,"meta_r_1202","invalid","5.4.2.7",,"false",,,,,,,"cell*r_1202_Vmax*(s_0446-s_0445/r_1202_Keq)/r_1202_Km0446/((1+s_0446/r_1202_Km0446+1+s_0445/r_1202_Km0445)-1)","phosphopentomutase",,"meta_r_1202",,"phosphopentomutase","true",,"r_1202",,"reaction","reaction reversible","SBO:0000176",,"false","phosphopentomutase",,,,,
"true",,"1","true","meta_e_1366","substance",,,,,,,,"eco:b4383",,,"deoB",,"meta_e_1366",,"deoB",,"cell","e_1366","0.001","species","species","SBO:0000252",,"false","deoB",,"P0A6K6",,,"0.001"
"true",,"1","true","meta_e_1023","substance",,,,,,,,"eco:b3380",,,"yhfW",,"meta_e_1023",,"yhfW",,"cell","e_1023","0.001","species","species","SBO:0000252",,"false","yhfW",,"P45549",,,"0.001"
,,,,"_2b43210d_7642_466a_a449_ee7b4b31944c","invalid",,,"false",,,,,,,"cell*r_0428_Vmax*(s_0395*s_1399-s_0536*s_0555/r_0428_Keq)/(r_0428_Km0395*r_0428_Km1399)/(((1+s_0395/r_0428_Km0395)*(1+s_1399/r_0428_Km1399)+(1+s_0536/r_0428_Km0536)*(1+s_0555/r_0428_Km0555))-1)","citrate synthase",,"_2b43210d_7642_466a_a449_ee7b4b31944c",,"citrate synthase","true",,"r_0428",,"reaction","reaction reversible","SBO:0000176",,"false","citrate synthase",,,,,
"true",,"1","true","meta_e_0246","substance",,,,,,,,"eco:b0720",,,"gltA",,"meta_e_0246",,"gltA",,"cell","e_0246","0.001","species","species","SBO:0000252",,"false","gltA",,"P0ABH7",,,"0.001"
,,,,"meta_r_0368","invalid","2.1.3.2",,"false",,,,,,,"cell*r_0368_Vmax*(s_1072*s_0502-s_1312*s_1430/r_0368_Keq)/(r_0368_Km1072*r_0368_Km0502)/(((1+s_1072/r_0368_Km1072)*(1+s_0502/r_0368_Km0502)+(1+s_1312/r_0368_Km1312)*(1+s_1430/r_0368_Km1430))-1)","aspartate carbamoyltransferase",,"meta_r_0368",,"aspartate carbamoyltransferase","true",,"r_0368",,"reaction","reaction reversible","SBO:0000176",,"false","aspartate carbamoyltransferase",,,,,
,"CHEBI:58228","1",,"meta_s_0502","substance",,,,,"M_cbp_c",,"C00169",,,,"Carbamoyl phosphate",,"meta_s_0502",,"Carbamoyl phosphate",,"cell","s_0502","0.1","species","species","SBO:0000247",,"false","Carbamoyl phosphate",,,,,"0.1"
"true",,"1","true","meta_e_1339","substance",,,,,,,,"eco:b4244",,,"pyrI",,"meta_e_1339",,"pyrI",,"cell","e_1339","0.001","species","species","SBO:0000252",,"false","pyrI",,"P0A7F3",,,"0.001"
"true",,"1","true","meta_e_1340","substance",,,,,,,,"eco:b4245",,,"pyrB",,"meta_e_1340",,"pyrB",,"cell","e_1340","0.001","species","species","SBO:0000252",,"false","pyrB",,"P0A786",,,"0.001"
,,,,"meta_r_0731","invalid","1.2.1.21",,"false",,,,,,,"cell*r_0731_Vmax*(s_0936*s_1333-s_0937*s_1334/r_0731_Keq)/(r_0731_Km0936*r_0731_Km1333)/(((1+s_0936/r_0731_Km0936)*(1+s_1333/r_0731_Km1333)+(1+s_0937/r_0731_Km0937)*(1+s_1334/r_0731_Km1334))-1)","Glycolaldehyde dehydrogenase",,"meta_r_0731",,"Glycolaldehyde dehydrogenase","true",,"r_0731",,"reaction","reaction reversible","SBO:0000176",,"false","Glycolaldehyde dehydrogenase",,,,,
"true",,"1","true","meta_e_0466","substance",,,,,,,,"eco:b1415",,,"aldA",,"meta_e_0466",,"aldA",,"cell","e_0466","0.001","species","species","SBO:0000252",,"false","aldA",,"P25553",,,"0.001"
,,,,"meta_r_1329","invalid",,,"false",,,,,,,"cell*r_1329_Vmax*(s_0467*s_0945*s_1609-s_0412*s_0896*s_1430*s_0783/r_1329_Keq)/(r_1329_Km0467*r_1329_Km0945*r_1329_Km1609)/(((1+s_0467/r_1329_Km0467)*(1+s_0945/r_1329_Km0945)*(1+s_1609/r_1329_Km1609)+(1+s_0412/r_1329_Km0412)*(1+s_0896/r_1329_Km0896)*(1+s_1430/r_1329_Km1430)*(1+s_0783/r_1329_Km0783))-1)","Sulfate adenyltransferase",,"meta_r_1329",,"Sulfate adenyltransferase","true",,"r_1329",,"reaction","reaction reversible","SBO:0000176",,"false","Sulfate adenyltransferase",,,,,
"true",,"1","true","meta_e_0870","substance",,,,,,,,"eco:b2752",,,"cysD",,"meta_e_0870",,"cysD",,"cell","e_0870","0.001","species","species","SBO:0000252",,"false","cysD",,"P21156",,,"0.001"
"true",,"1","true","meta_e_0869","substance",,,,,,,,"eco:b2751",,,"cysN",,"meta_e_0869",,"cysN",,"cell","e_0869","0.001","species","species","SBO:0000252",,"false","cysN",,"P23845",,,"0.001"
,,,,"meta_r_1357","invalid","2.2.1.1",,"false",,,,,,,"cell*r_1357_Vmax*(s_0913*s_1561-s_0446*s_0721/r_1357_Keq)/(r_1357_Km0913*r_1357_Km1561)/(((1+s_0913/r_1357_Km0913)*(1+s_1561/r_1357_Km1561)+(1+s_0446/r_1357_Km0446)*(1+s_0721/r_1357_Km0721))-1)","transketolase",,"meta_r_1357",,"transketolase","true",,"r_1357",,"reaction","reaction reversible","SBO:0000176",,"false","transketolase",,,,,
,"CHEBI:16897","1",,"meta_s_0621","substance",,,,,"M_e4p_c",,"C00279",,,,"D-Erythrose 4-phosphate",,"meta_s_0621",,"D-Erythrose 4-phosphate",,"cell","s_0621","0.1","species","species","SBO:0000247",,"false","D-Erythrose 4-phosphate",,,,,"0.1"
"true",,"1","true","meta_e_0771","substance",,,,,,,,"eco:b2465",,,"tktB",,"meta_e_0771",,"tktB",,"cell","e_0771","0.001","species","species","SBO:0000252",,"false","tktB",,"P33570",,,"0.001"
"true",,"1","true","meta_e_0928","substance",,,,,,,,"eco:b2935",,,"tktA",,"meta_e_0928",,"tktA",,"cell","e_0928","0.001","species","species","SBO:0000252",,"false","tktA",,"P27302",,,"0.001"
,,,,"meta_r_0806","invalid","1.1.1.42",,"false",,,,,,,"cell*r_0806_Vmax*(s_1027*s_1335-s_0233*s_0543*s_1336/r_0806_Keq)/(r_0806_Km1027*r_0806_Km1335)/(((1+s_1027/r_0806_Km1027)*(1+s_1335/r_0806_Km1335)+(1+s_0233/r_0806_Km0233)*(1+s_0543/r_0806_Km0543)*(1+s_1336/r_0806_Km1336))-1)","isocitrate dehydrogenase (NADP)",,"meta_r_0806",,"isocitrate dehydrogenase (NADP)","true",,"r_0806",,"reaction","reaction reversible","SBO:0000176",,"false","isocitrate dehydrogenase (NADP)",,,,,
"true",,"1","true","meta_e_0391","substance",,,,,,,,"eco:b1136",,,"icd",,"meta_e_0391",,"icd",,"cell","e_0391","0.001","species","species","SBO:0000252",,"false","icd",,"P08200",,,"0.001"
,,,,"e1a6f0b7_b02f_4c70_88fb_50180b3469df","invalid",,,"false",,,,,,,"cell*r_1276_Vmax*(s_0467*s_0861^2-s_0726*s_0862^2/r_1276_Keq)/(r_1276_Km0467*r_1276_Km0861^2)/(((1+s_0467/r_1276_Km0467)*(1+s_0861/r_1276_Km0861)^2+(1+s_0726/r_1276_Km0726)*(1+s_0862/r_1276_Km0862)^2)-1)","ribonucleoside-triphosphate reductase (ATP) (flavodoxin)",,"e1a6f0b7_b02f_4c70_88fb_50180b3469df",,"ribonucleoside-triphosphate reductase (ATP) (flavodoxin)","true",,"r_1276",,"reaction","reaction reversible","SBO:0000176",,"false","ribonucleoside-triphosphate reductase (ATP) (flavodoxin)",,,,,
,,,,"meta_r_0951","invalid","2.5.1.6",,"false",,,,,,,"cell*r_0951_Vmax*(s_0467*s_1141-s_1552*s_1430*s_0783/r_0951_Keq)/(r_0951_Km0467*r_0951_Km1141)/(((1+s_0467/r_0951_Km0467)*(1+s_1141/r_0951_Km1141)+(1+s_1552/r_0951_Km1552)*(1+s_1430/r_0951_Km1430)*(1+s_0783/r_0951_Km0783))-1)","methionine adenosyltransferase",,"meta_r_0951",,"methionine adenosyltransferase","true",,"r_0951",,"reaction","reaction reversible","SBO:0000176",,"false","methionine adenosyltransferase",,,,,
"true",,"1","true","meta_e_0931","substance",,,,,,,,"eco:b2942",,,"metK",,"meta_e_0931",,"metK",,"cell","e_0931","0.001","species","species","SBO:0000252",,"false","metK",,"P0A817",,,"0.001"
,,,,"meta_r_0676","invalid","5.1.1.3",,"false",,,,,,,"cell*r_0676_Vmax*(s_1095-s_0671/r_0676_Keq)/r_0676_Km1095/((1+s_1095/r_0676_Km1095+1+s_0671/r_0676_Km0671)-1)","glutamate racemase",,"meta_r_0676",,"glutamate racemase","true",,"r_0676",,"reaction","reaction reversible","SBO:0000176",,"false","glutamate racemase",,,,,
,"CHEBI:29986","1",,"meta_s_0671","substance",,,,,"M_glu_DASH_D_c",,"C00217",,,,"D-Glutamate",,"meta_s_0671",,"D-Glutamate",,"cell","s_0671","0.1","species","species","SBO:0000247",,"false","D-Glutamate",,,,,"0.1"
"true",,"1","true","meta_e_1247","substance",,,,,,,,"eco:b3967",,,"murI",,"meta_e_1247",,"murI",,"cell","e_1247","0.001","species","species","SBO:0000252",,"false","murI",,"P22634",,,"0.001"
