"network";"DRUG_ID";"mean.path.length";"mean.k.edge";"mean.min.degree";"mean.max.degree";"mean.mean.degree";"max.adjacency";"mean.min.bet";"mean.max.bet";"mean.mean.bet";"mean.min.EVC";"mean.max.EVC";"mean.mean.EVC";"mean.sigma_all";"mean.sigma_set";"drug_pair";"Drug1";"Drug2";"drugdrug";"code_3letter1";"code_3letter2";"drug_cat";"drug_category1";"drug_category2";"categorycategory";"targ";"targeted_cellular_process1";"targeted_cellular_process2";"processprocess";"us";"use1";"use2";"useuse";"ebw";"ecr";"seo";"stm";"pae";"pau";"int_sign_ebw";"int_sign_ecr";"int_sign_seo";"int_sign_stm";"int_sign_pae";"int_sign_pau";"ebw_g";"ecr_g";"seo_g";"stm_g";"pae_g";"pau_g";"sum_g";"SR_ebw_D1";"SR_ecr_D1";"SR_stm_D1";"SR_seo_D1";"SR_pae_D1";"SR_pau_D1";"SR_ebw_D2";"SR_ecr_D2";"SR_stm_D2";"SR_seo_D2";"SR_pae_D2";"SR_pau_D2";"SR_ebw";"SR_ecr";"SR_stm";"SR_seo";"SR_pae";"SR_pau";"SR_score_ebw";"SR_score_ecr";"SR_score_stm";"SR_score_seo";"SR_score_pae";"SR_score_pau";"SR_score_total";"HDC_ebw_D1";"HDC_ecr_D1";"HDC_stm_D1";"HDC_seo_D1";"HDC_pae_D1";"HDC_pau_D1";"LF_ebw_D1";"LF_ecr_D1";"LF_stm_D1";"LF_seo_D1";"LF_pae_D1";"LF_pau_D1";"HDC_ebw_D2";"HDC_ecr_D2";"HDC_stm_D2";"HDC_seo_D2";"HDC_pae_D2";"HDC_pau_D2";"LF_ebw_D2";"LF_ecr_D2";"LF_stm_D2";"LF_seo_D2";"LF_pae_D2";"LF_pau_D2";"clusters_all";"sigma.rate_all";"type";"clusters_set";"sigma.rate_set";"SET";"connection_onoff"
"Co-functional (EcoCyc/GO-BP)";"Cefotaxime-Sulfamonomethoxine";"1,500";"21,000";"21,000";"53,833";"37,417";"1";"5024,920";"19939,870";"12482,395";"0,025";"0,025";"0,025";"0,002";NA;"Cefotaxime_Sulfamonomethoxine";"Cefotaxime";"Sulfamonomethoxine";"Cefotaxime-Sulfamonomethoxine";"CTX";"SMM";"0";"beta-lactam";"folic acid biosynthesis";"beta-lactam-folic acid biosynthesis";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,071951825";"-0,052973081";"-0,052526964";"-0,049677216";"0,065533748";"0,033805804";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"S";"R";"R";"R";"R";"R";"R";"R";"SR";"SR";"RR";"RR";"SR";"RR";"0";"0";"1";"1";"0";"1";"3";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"50,000";"50,000";"50,000";"50,000";"100,00";"100,00";"0,88";"0,88";"0,85";"0,88";"0,77";"0,81";"3";"0,002";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional(EcoCyc)";"Cefotaxime-Triclosan";"Inf";"0,000";"14,000";"15,000";"14,500";"0";"0,000";"6,470";"3,235";"0,000";"0,000";"0,000";"0,001";NA;"Cefotaxime_Triclosan";"Cefotaxime";"Triclosan";"Cefotaxime-Triclosan";"CTX";"TRI";"0";"beta-lactam";"other membrane";"beta-lactam-other membrane";"0";"cell wall";"membrane";"cell wall-membrane";"0";"antibiotic";"anti-infective";"anti-infective-antibiotic";"-0,087181683";"-0,072882976";"-0,039725987";"-0,079975382";"-0,166500629";"-0,022675099";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"S";"R";"R";"R";"R";"R";"R";"R";"SR";"SR";"RR";"RR";"SR";"RR";"0";"0";"1";"1";"0";"1";"3";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"0,040";"0,040";"0,040";"0,040";"0,04";"0,04";"1,00";"1,00";"0,98";"1,00";"0,97";"0,99";"4";"0,001";"Additivity";NA;NA;"FALSE";"disconnected"
"Small/medium-scale PPI";"Cefotaxime-Triclosan";"4,400";"1,000";"1,000";"4,600";"2,800";"0";"0,000";"536,814";"268,407";"0,060";"0,060";"0,060";"0,001";NA;"Cefotaxime_Triclosan";"Cefotaxime";"Triclosan";"Cefotaxime-Triclosan";"CTX";"TRI";"0";"beta-lactam";"other membrane";"beta-lactam-other membrane";"0";"cell wall";"membrane";"cell wall-membrane";"0";"antibiotic";"anti-infective";"anti-infective-antibiotic";"-0,087181683";"-0,072882976";"-0,039725987";"-0,079975382";"-0,166500629";"-0,022675099";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"S";"R";"R";"R";"R";"R";"R";"R";"SR";"SR";"RR";"RR";"SR";"RR";"0";"0";"1";"1";"0";"1";"3";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"0,040";"0,040";"0,040";"0,040";"0,04";"0,04";"1,00";"1,00";"0,98";"1,00";"0,97";"0,99";"4";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cefotaxime-Triclosan";"2,500";"17,000";"17,000";"53,833";"35,417";"0";"1764,640";"19939,870";"10852,255";"0,018";"0,018";"0,018";"0,001";NA;"Cefotaxime_Triclosan";"Cefotaxime";"Triclosan";"Cefotaxime-Triclosan";"CTX";"TRI";"0";"beta-lactam";"other membrane";"beta-lactam-other membrane";"0";"cell wall";"membrane";"cell wall-membrane";"0";"antibiotic";"anti-infective";"anti-infective-antibiotic";"-0,087181683";"-0,072882976";"-0,039725987";"-0,079975382";"-0,166500629";"-0,022675099";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"S";"R";"R";"R";"R";"R";"R";"R";"SR";"SR";"RR";"RR";"SR";"RR";"0";"0";"1";"1";"0";"1";"3";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"0,040";"0,040";"0,040";"0,040";"0,04";"0,04";"1,00";"1,00";"0,98";"1,00";"0,97";"0,99";"4";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional(EcoCyc)";"Cefotaxime-Trimethoprim";"Inf";"0,000";"14,000";"15,000";"14,500";"0";"0,000";"142,670";"71,335";"0,020";"0,020";"0,020";"0,003";"0,003";"Cefotaxime_Trimethoprim";"Cefotaxime";"Trimethoprim";"Cefotaxime-Trimethoprim";"CTX";"TMP";"0";"beta-lactam";"folic acid biosynthesis";"beta-lactam-folic acid biosynthesis";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,132932792";"0,082081466";"-0,048415086";"0,082274937";"0,039053724";"0,049758576";"Antagonism";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"1";"0";"0";"0";"0";"0";"1";"S";"S";"R";"R";"S";"R";"S";"S";"S";"S";"R";"R";"SS";"SS";"RS";"RS";"SR";"RR";"-1";"-1";"0";"0";"0";"1";"-1";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"0,500";"0,500";"0,500";"0,500";"1,00";"1,00";"0,49";"0,46";"0,53";"0,46";"0,83";"0,85";"6";"0,003";"Additivity-Antagonism";"3";"0,003";"TRUE";"disconnected"
"Co-functional (EcoCyc/GO-BP)";"Cefotaxime-Trimethoprim";"1,500";"31,667";"32,000";"53,833";"42,917";"1";"14652,642";"29975,078";"22313,860";"0,040";"0,040";"0,040";"0,003";"0,003";"Cefotaxime_Trimethoprim";"Cefotaxime";"Trimethoprim";"Cefotaxime-Trimethoprim";"CTX";"TMP";"0";"beta-lactam";"folic acid biosynthesis";"beta-lactam-folic acid biosynthesis";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,132932792";"0,082081466";"-0,048415086";"0,082274937";"0,039053724";"0,049758576";"Antagonism";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"1";"0";"0";"0";"0";"0";"1";"S";"S";"R";"R";"S";"R";"S";"S";"S";"S";"R";"R";"SS";"SS";"RS";"RS";"SR";"RR";"-1";"-1";"0";"0";"0";"1";"-1";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"0,500";"0,500";"0,500";"0,500";"1,00";"1,00";"0,49";"0,46";"0,53";"0,46";"0,83";"0,85";"6";"0,003";"Additivity-Antagonism";"3";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"Cephalexin-Ciprofloxacin";"5,500";"2,100";"2,800";"8,300";"5,550";"0";"268,407";"3002,687";"1635,547";"0,051";"0,051";"0,051";"0,001";NA;"Cephalexin_Ciprofloxacin";"Cephalexin";"Ciprofloxacin";"Cephalexin-Ciprofloxacin";"LEX";"CIP";"0";"beta-lactam";"quinolones";"beta-lactam-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,053033760";"-0,036638383";"-0,066766774";"-0,043021989";"0,117314137";"-0,041067859";"Additivity";"Additivity";"Additivity";"Additivity";"Antagonism";"Additivity";"0";"0";"0";"0";"1";"0";"1";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"RS";"RS";"RS";"RS";"RS";"RS";"0";"0";"0";"0";"0";"0";"0";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,010";"0,010";"0,015";"0,015";"1,25";"0,08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"9";"0,001";"Additivity-Antagonism";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cephalexin-Ciprofloxacin";"1,500";"20,000";"20,000";"53,833";"36,917";"1";"1165,260";"19939,870";"10552,565";"0,023";"0,023";"0,023";"0,001";NA;"Cephalexin_Ciprofloxacin";"Cephalexin";"Ciprofloxacin";"Cephalexin-Ciprofloxacin";"LEX";"CIP";"0";"beta-lactam";"quinolones";"beta-lactam-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,053033760";"-0,036638383";"-0,066766774";"-0,043021989";"0,117314137";"-0,041067859";"Additivity";"Additivity";"Additivity";"Additivity";"Antagonism";"Additivity";"0";"0";"0";"0";"1";"0";"1";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"RS";"RS";"RS";"RS";"RS";"RS";"0";"0";"0";"0";"0";"0";"0";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,010";"0,010";"0,015";"0,015";"1,25";"0,08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"9";"0,001";"Additivity-Antagonism";NA;NA;"FALSE";"connected"
"Small/medium-scale PPI";"Cephalexin-Clindamycin";"4,400";"1,600";"1,600";"5,000";"3,300";"0";"220,938";"684,106";"452,522";"0,044";"0,044";"0,044";"0,000";NA;"Cephalexin_Clindamycin";"Cephalexin";"Clindamycin";"Cephalexin-Clindamycin";"LEX";"CLI";"0";"beta-lactam";"other protein synthesis inhibitor";"beta-lactam-other protein synthesis inhibitor";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,036800935";"0,035369180";"0,061401687";"0,075545355";"-0,052326011";"0,026192261";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"R";"R";"S";"S";"R";"R";"RR";"RR";"RS";"RS";"RR";"RR";"1";"1";"0";"0";"1";"1";"4";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"2,000";"2,000";"2,000";"2,000";"2,00";"2,00";"0,78";"0,76";"0,60";"0,64";"0,87";"0,90";"2";"0,000";"Additivity";NA;NA;"FALSE";"connected"
"Small/medium-scale PPI";"Cephalexin-Doxycycline";"4,000";"1,300";"1,600";"5,000";"3,300";"0";"237,882";"750,807";"494,345";"0,059";"0,059";"0,059";"0,001";NA;"Cephalexin_Doxycycline";"Cephalexin";"Doxycycline";"Cephalexin-Doxycycline";"LEX";"DOX";"0";"beta-lactam";"tetracycline";"beta-lactam-tetracycline";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,062979783";"0,065939522";"-0,054469505";"-0,073014916";"-0,051267440";"0,039561812";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"R";"S";"RS";"RS";"RS";"RS";"RR";"RS";"0";"0";"0";"0";"1";"0";"1";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,500";"0,500";"1,000";"1,000";"4,00";"4,00";"0,42";"0,00";"0,55";"0,40";"0,85";"0,50";"9";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cephalexin-Doxycycline";"3,500";"12,000";"13,000";"53,833";"33,417";"0";"6233,610";"19939,870";"13086,740";"0,020";"0,020";"0,020";"0,001";NA;"Cephalexin_Doxycycline";"Cephalexin";"Doxycycline";"Cephalexin-Doxycycline";"LEX";"DOX";"0";"beta-lactam";"tetracycline";"beta-lactam-tetracycline";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,062979783";"0,065939522";"-0,054469505";"-0,073014916";"-0,051267440";"0,039561812";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"R";"S";"RS";"RS";"RS";"RS";"RR";"RS";"0";"0";"0";"0";"1";"0";"1";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,500";"0,500";"1,000";"1,000";"4,00";"4,00";"0,42";"0,00";"0,55";"0,40";"0,85";"0,50";"9";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional(EcoCyc)";"Cephalexin-Fosfomycin";"1,000";"15,000";"15,000";"15,000";"15,000";"1";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,001";NA;"Cephalexin_Fosfomycin";"Cephalexin";"Fosfomycin";"Cephalexin-Fosfomycin";"LEX";"FOF";"0";"beta-lactam";"other cell wall";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,051465450";"-0,083485425";"-0,055280295";"-0,101682714";"0,145392972";"0,063800023";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"R";"S";"S";"RS";"RS";"RS";"RR";"RS";"RS";"0";"0";"0";"1";"0";"0";"1";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,100";"0,100";"0,050";"0,050";"15,00";"5,00";"0,39";"0,49";"0,65";"0,77";"0,00";"0,00";"9";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cephalexin-Fosfomycin";"1,167";"27,000";"27,000";"53,833";"40,417";"1";"77,140";"19939,870";"10008,505";"0,022";"0,022";"0,022";"0,001";NA;"Cephalexin_Fosfomycin";"Cephalexin";"Fosfomycin";"Cephalexin-Fosfomycin";"LEX";"FOF";"0";"beta-lactam";"other cell wall";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,051465450";"-0,083485425";"-0,055280295";"-0,101682714";"0,145392972";"0,063800023";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"R";"S";"S";"RS";"RS";"RS";"RR";"RS";"RS";"0";"0";"0";"1";"0";"0";"1";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,100";"0,100";"0,050";"0,050";"15,00";"5,00";"0,39";"0,49";"0,65";"0,77";"0,00";"0,00";"9";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cephalexin-Fusidic acid";"4,500";"1,000";"1,000";"53,833";"27,417";"0";"0,000";"19939,870";"9969,935";"0,025";"0,025";"0,025";"0,002";NA;"Cephalexin_Fusidic acid";"Cephalexin";"Fusidic acid";"Cephalexin-Fusidic acid";"LEX";"FUS";"0";"beta-lactam";"other protein synthesis inhibitor";"beta-lactam-other protein synthesis inhibitor";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,040396816";"0,029489816";"0,070216886";"0,058066443";"0,026347312";"-0,056942145";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"R";"R";"R";"R";"RS";"RS";"RR";"RR";"RR";"RR";"0";"0";"1";"1";"1";"1";"4";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"100,000";"100,000";"100,000";"100,000";"100,00";"100,00";"0,56";"0,43";"0,86";"0,73";"0,83";"0,84";"10";"0,002";"Additivity";NA;NA;"FALSE";"connected"
"Small/medium-scale PPI";"Cephalexin-Imipenem";"2,800";"1,600";"2,000";"7,200";"4,600";"1";"207,807";"865,821";"536,814";"0,047";"0,047";"0,047";"0,003";NA;"Cephalexin_Imipenem";"Cephalexin";"Imipenem";"Cephalexin-Imipenem";"LEX";"IPM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,062303642";"-0,053685421";"-0,057252841";"0,032793424";"-0,018805893";"0,025000618";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"RS";"RS";"RS";"RS";"RS";"RS";"0";"0";"0";"0";"0";"0";"0";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"6";"0,003";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional(EcoCyc)";"Cephalexin-Imipenem";"1,000";"15,000";"15,000";"15,000";"15,000";"1";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,003";NA;"Cephalexin_Imipenem";"Cephalexin";"Imipenem";"Cephalexin-Imipenem";"LEX";"IPM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,062303642";"-0,053685421";"-0,057252841";"0,032793424";"-0,018805893";"0,025000618";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"RS";"RS";"RS";"RS";"RS";"RS";"0";"0";"0";"0";"0";"0";"0";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"6";"0,003";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cephalexin-Imipenem";"1,067";"43,667";"45,000";"62,667";"53,833";"1";"11165,367";"28714,373";"19939,870";"0,026";"0,026";"0,026";"0,003";NA;"Cephalexin_Imipenem";"Cephalexin";"Imipenem";"Cephalexin-Imipenem";"LEX";"IPM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,062303642";"-0,053685421";"-0,057252841";"0,032793424";"-0,018805893";"0,025000618";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"RS";"RS";"RS";"RS";"RS";"RS";"0";"0";"0";"0";"0";"0";"0";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"6";"0,003";"Additivity";NA;NA;"FALSE";"connected"
"Small/medium-scale PPI";"Cephalexin-Levofloxacin";"5,150";"1,550";"1,900";"6,450";"4,175";"0";"134,203";"1769,751";"951,977";"0,048";"0,048";"0,048";"0,003";NA;"Cephalexin_Levofloxacin";"Cephalexin";"Levofloxacin";"Cephalexin-Levofloxacin";"LEX";"LCX";"0";"beta-lactam";"DNA gyrase";"beta-lactam-DNA gyrase";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,035156342";"0,007800975";"-0,036739236";"0,000000000";"0,062971352";"0,000000000";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"RS";"RS";"RS";"RS";"RS";"RS";"0";"0";"0";"0";"0";"0";"0";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,040";"0,040";"0,080";"0,080";"2,00";"0,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6";"0,003";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cephalexin-Levofloxacin";"2,083";"13,000";"13,000";"53,833";"33,417";"1";"861,438";"19939,870";"10400,654";"0,022";"0,022";"0,022";"0,003";NA;"Cephalexin_Levofloxacin";"Cephalexin";"Levofloxacin";"Cephalexin-Levofloxacin";"LEX";"LCX";"0";"beta-lactam";"DNA gyrase";"beta-lactam-DNA gyrase";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,035156342";"0,007800975";"-0,036739236";"0,000000000";"0,062971352";"0,000000000";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"RS";"RS";"RS";"RS";"RS";"RS";"0";"0";"0";"0";"0";"0";"0";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,040";"0,040";"0,080";"0,080";"2,00";"0,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6";"0,003";"Additivity";NA;NA;"FALSE";"connected"
"Small/medium-scale PPI";"Cephalexin-Mecillinam";"3,250";"1,000";"1,000";"5,500";"3,250";"0";"0,000";"671,018";"335,509";"0,053";"0,053";"0,053";"0,002";NA;"Cephalexin_Mecillinam";"Cephalexin";"Mecillinam";"Cephalexin-Mecillinam";"LEX";"MEC";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,063774837";"0,057611559";"-0,067219471";"0,075981601";"-0,032960469";"0,039939513";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"R";"R";"RS";"RS";"RS";"RS";"RR";"RR";"0";"0";"0";"0";"1";"1";"2";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,060";"0,060";"0,060";"0,060";"2,00";"2,00";"0,00";"0,00";"0,00";"0,00";"0,90";"0,91";"10";"0,002";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cephalexin-Mecillinam";"1,000";"49,400";"50,200";"72,000";"61,100";"1";"12645,600";"56411,220";"34528,410";"0,034";"0,034";"0,034";"0,002";NA;"Cephalexin_Mecillinam";"Cephalexin";"Mecillinam";"Cephalexin-Mecillinam";"LEX";"MEC";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,063774837";"0,057611559";"-0,067219471";"0,075981601";"-0,032960469";"0,039939513";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"R";"R";"RS";"RS";"RS";"RS";"RR";"RR";"0";"0";"0";"0";"1";"1";"2";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,060";"0,060";"0,060";"0,060";"2,00";"2,00";"0,00";"0,00";"0,00";"0,00";"0,90";"0,91";"10";"0,002";"Additivity";NA;NA;"FALSE";"connected"
"Small/medium-scale PPI";"Cephalexin-Meropenem";"2,800";"1,600";"2,000";"7,200";"4,600";"1";"207,807";"865,821";"536,814";"0,047";"0,047";"0,047";"0,002";NA;"Cephalexin_Meropenem";"Cephalexin";"Meropenem";"Cephalexin-Meropenem";"LEX";"MEM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,066057652";"-0,094180473";"0,014189390";"-0,126460738";"0,028257580";"0,043693364";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"R";"R";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"RS";"RS";"RS";"RS";"RS";"RS";"0";"0";"0";"0";"0";"0";"0";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"0,080";"0,040";"0,080";"0,040";"1,00";"0,25";"0,09";"0,12";"0,00";"0,00";"0,00";"0,00";"7";"0,002";"Additivity";NA;NA;"FALSE";"connected"
