"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","connection_onoff"
"EN:allnetworks","Cefotaxime_Fosfomycin",2,55.1667,55.1667,78.8333,67,"0","Cefotaxime","Fosfomycin","Cefotaxime-Fosfomycin","CTX","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.086770752,-0.156152589,-0.082016559,-0.071541959,-0.131966127,-0.098164736,"Additivity","Synergy","Additivity","Additivity","Synergy","Additivity",0,-1,0,0,-1,0,-2,"S","S","R","R","S","R","S","S","S","R","S","S","SS","SS","RS","RR","SS","RS",-1,-1,0,1,-1,0,-2,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Cefotaxime_Fusidic acid",4.5,1,1,53.8333,27.4167,"0","Cefotaxime","Fusidic acid","Cefotaxime-Fusidic acid","CTX","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.052964039,-0.162183554,-0.047389133,-0.056899429,-0.062246164,-0.057500613,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","S","R","S","S","R","R","R","R","SS","SS","RR","RR","SR","RR",-1,-1,1,1,0,1,1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","Cefotaxime_Fusidic acid",4.5,1,1,48.6667,24.8333,"0","Cefotaxime","Fusidic acid","Cefotaxime-Fusidic acid","CTX","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.052964039,-0.162183554,-0.047389133,-0.056899429,-0.062246164,-0.057500613,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","S","R","S","S","R","R","R","R","SS","SS","RR","RR","SR","RR",-1,-1,1,1,0,1,1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-expression","Cefotaxime_Fusidic acid",4,4,4,25.8333,14.9167,"0","Cefotaxime","Fusidic acid","Cefotaxime-Fusidic acid","CTX","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.052964039,-0.162183554,-0.047389133,-0.056899429,-0.062246164,-0.057500613,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","S","R","S","S","R","R","R","R","SS","SS","RR","RR","SR","RR",-1,-1,1,1,0,1,1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,2,0.00314893046588041,"Additivity-Synergy","connected"
"High-throughput PPI","Cefotaxime_Fusidic acid",3.8333,4.8333,4.8333,19.8333,12.3333,"0","Cefotaxime","Fusidic acid","Cefotaxime-Fusidic acid","CTX","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.052964039,-0.162183554,-0.047389133,-0.056899429,-0.062246164,-0.057500613,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","S","R","S","S","R","R","R","R","SS","SS","RR","RR","SR","RR",-1,-1,1,1,0,1,1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar genomic context","Cefotaxime_Fusidic acid",3.1667,19,19,30.3333,24.6667,"0","Cefotaxime","Fusidic acid","Cefotaxime-Fusidic acid","CTX","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.052964039,-0.162183554,-0.047389133,-0.056899429,-0.062246164,-0.057500613,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","S","R","S","S","R","R","R","R","SS","SS","RR","RR","SR","RR",-1,-1,1,1,0,1,1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,2,0.00314893046588041,"Additivity-Synergy","connected"
"EN:allnetworks","Cefotaxime_Fusidic acid",2.5,32,32,67,49.5,"0","Cefotaxime","Fusidic acid","Cefotaxime-Fusidic acid","CTX","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.052964039,-0.162183554,-0.047389133,-0.056899429,-0.062246164,-0.057500613,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","S","R","S","S","R","R","R","R","SS","SS","RR","RR","SR","RR",-1,-1,1,1,0,1,1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-occurence of prot. domains","Cefotaxime_Imipenem",Inf,0.3333,1,2.3333,1.6667,"1","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"Similar phylogenetic profiles","Cefotaxime_Imipenem",5.8333,1,1.1667,2.3333,1.75,"0","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"Small/medium-scale PPI","Cefotaxime_Imipenem",2.8,1.6,2,7.2,4.6,"1","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"High-throughput PPI","Cefotaxime_Imipenem",3.5333,6.8667,6.9333,32.4,19.6667,"0","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"Co-expression","Cefotaxime_Imipenem",3.4,9.5333,9.5333,42.1333,25.8333,"0","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"Similar genomic context","Cefotaxime_Imipenem",3.0667,13.1333,13.1333,25.5333,19.3333,"0","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"Co-functional(EcoCyc)","Cefotaxime_Imipenem",1,15,15,15,15,"1","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"Co-functional (GO-BP)","Cefotaxime_Imipenem",1.2,38.0667,39.6667,57.6667,48.6667,"1","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Cefotaxime_Imipenem",1.0667,43.6667,45,62.6667,53.8333,"1","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"EN:allnetworks","Cefotaxime_Imipenem",1.4667,48.4667,48.4667,85.5333,67,"1","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"Co-citation","Cefotaxime_Imipenem",1.4,69.5,69.5,153.3,111.4,"1","Cefotaxime","Imipenem","Cefotaxime-Imipenem","CTX","IPM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.120425148,-0.162247698,-0.126510675,-0.061924199,0.303466247,-0.067377466,"Additivity","Synergy","Additivity","Additivity","Antagonism","Additivity",0,-1,0,0,1,0,0,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,1,0.00318999362915508,"Additivity-Antagonism-Synergy","connected"
"Similar phylogenetic profiles","Cefotaxime_Levofloxacin",5.4375,1.5,1.75,8.25,5,"0","Cefotaxime","Levofloxacin","Cefotaxime-Levofloxacin","CTX","LCX",0,"beta-lactam","DNA gyrase","beta-lactam-DNA gyrase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.024269083,-0.051302964,-0.012964137,0,-0.099462906,0,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Small/medium-scale PPI","Cefotaxime_Levofloxacin",5.15,1.55,1.9,6.45,4.175,"0","Cefotaxime","Levofloxacin","Cefotaxime-Levofloxacin","CTX","LCX",0,"beta-lactam","DNA gyrase","beta-lactam-DNA gyrase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.024269083,-0.051302964,-0.012964137,0,-0.099462906,0,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"High-throughput PPI","Cefotaxime_Levofloxacin",3,11.3333,11.5833,37.5833,24.5833,"0","Cefotaxime","Levofloxacin","Cefotaxime-Levofloxacin","CTX","LCX",0,"beta-lactam","DNA gyrase","beta-lactam-DNA gyrase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.024269083,-0.051302964,-0.012964137,0,-0.099462906,0,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Cefotaxime_Levofloxacin",2.0833,13,13,53.8333,33.4167,"1","Cefotaxime","Levofloxacin","Cefotaxime-Levofloxacin","CTX","LCX",0,"beta-lactam","DNA gyrase","beta-lactam-DNA gyrase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.024269083,-0.051302964,-0.012964137,0,-0.099462906,0,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","Cefotaxime_Levofloxacin",2.0833,13,13,48.6667,30.8333,"1","Cefotaxime","Levofloxacin","Cefotaxime-Levofloxacin","CTX","LCX",0,"beta-lactam","DNA gyrase","beta-lactam-DNA gyrase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.024269083,-0.051302964,-0.012964137,0,-0.099462906,0,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-expression","Cefotaxime_Levofloxacin",2.875,14.5833,14.5833,43.5,29.0417,"0","Cefotaxime","Levofloxacin","Cefotaxime-Levofloxacin","CTX","LCX",0,"beta-lactam","DNA gyrase","beta-lactam-DNA gyrase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.024269083,-0.051302964,-0.012964137,0,-0.099462906,0,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar genomic context","Cefotaxime_Levofloxacin",2.5833,17.8333,17.8333,27.75,22.7917,"1","Cefotaxime","Levofloxacin","Cefotaxime-Levofloxacin","CTX","LCX",0,"beta-lactam","DNA gyrase","beta-lactam-DNA gyrase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.024269083,-0.051302964,-0.012964137,0,-0.099462906,0,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"EN:allnetworks","Cefotaxime_Levofloxacin",2,46.1667,46.1667,72.0833,59.125,"1","Cefotaxime","Levofloxacin","Cefotaxime-Levofloxacin","CTX","LCX",0,"beta-lactam","DNA gyrase","beta-lactam-DNA gyrase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.024269083,-0.051302964,-0.012964137,0,-0.099462906,0,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","R","R","S","R","S","S","S","S","S","S","SS","SS","RS","RS","SS","RS",-1,-1,0,0,-1,0,-3,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-occurence of prot. domains","Cefotaxime_Mecillinam",Inf,0.5,1,2,1.5,"1","Cefotaxime","Mecillinam","Cefotaxime-Mecillinam","CTX","MEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.15648401,-0.087906194,-0.221040643,-0.179625788,0.114801617,0.045444634,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","S","R","S","S","S","S","R","R","SS","SS","RS","RS","SR","RR",-1,-1,0,0,0,1,-1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar phylogenetic profiles","Cefotaxime_Mecillinam",5.6667,1,1.3333,2.3333,1.8333,"0","Cefotaxime","Mecillinam","Cefotaxime-Mecillinam","CTX","MEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.15648401,-0.087906194,-0.221040643,-0.179625788,0.114801617,0.045444634,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","S","R","S","S","S","S","R","R","SS","SS","RS","RS","SR","RR",-1,-1,0,0,0,1,-1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,2,0.00314893046588041,"Additivity-Synergy","connected"
"Small/medium-scale PPI","Cefotaxime_Mecillinam",3.25,1,1,5.5,3.25,"0","Cefotaxime","Mecillinam","Cefotaxime-Mecillinam","CTX","MEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.15648401,-0.087906194,-0.221040643,-0.179625788,0.114801617,0.045444634,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","S","R","S","S","S","S","R","R","SS","SS","RS","RS","SR","RR",-1,-1,0,0,0,1,-1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,2,0.00314893046588041,"Additivity-Synergy","connected"
"High-throughput PPI","Cefotaxime_Mecillinam",3.4,7.6,7.6,23.2,15.4,"0","Cefotaxime","Mecillinam","Cefotaxime-Mecillinam","CTX","MEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.15648401,-0.087906194,-0.221040643,-0.179625788,0.114801617,0.045444634,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","S","R","S","S","S","S","R","R","SS","SS","RS","RS","SR","RR",-1,-1,0,0,0,1,-1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar genomic context","Cefotaxime_Mecillinam",3,12,12,22.4,17.2,"0","Cefotaxime","Mecillinam","Cefotaxime-Mecillinam","CTX","MEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.15648401,-0.087906194,-0.221040643,-0.179625788,0.114801617,0.045444634,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","S","R","S","S","S","S","R","R","SS","SS","RS","RS","SR","RR",-1,-1,0,0,0,1,-1,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,2,0.00314893046588041,"Additivity-Synergy","connected"
