"compound","cal","cgi","cne","sce"
"Sisomicin sulfate",8.4,-12.68,-2.17,-0.27
"Skimmianine",-6.29,1.76,-0.26,-2.78
"Solanine alpha",9.64,25.29,15.26,3.15
"Solasodine",NA,66.38,87.01,NA
"Sotalol hydrochloride",2.9,-13.58,6.08,2.89
"Spaglumic acid",-3.24,13.73,1.09,-3.23
"Sparteine (-)",-5.76,-16.75,-17.15,3.35
"Spectinomycin dihydrochloride",2.9,29.98,-23.47,-2.56
"Spiperone",5.28,11.79,0.76,-0.32
"Spiramycin",-3.37,-5.84,9.7,5.06
"Spironolactone",0.13,-10.3,-1.29,-6.9
"SR-95639A",4.18,-30.72,22.12,5.02
"Stachydrine hydrochloride",-14.28,-22.57,22.52,-7.48
"Streptomycin sulfate",-20.01,20.32,5.97,-11.46
"Streptozotocin",1.08,-12.38,-7.03,2.62
"Strophanthidin",9.77,8.06,-33.36,-0.82
"Strophantine octahydrate",15.89,3.28,-14.43,4.99
"Succinylsulfathiazole",-2.56,0.01,-0.91,7.29
"Sulconazole nitrate",NA,NA,NA,NA
"Sulfabenzamide",-5.43,8.14,2.9,-1.07
"Sulfacetamide sodic hydrate",-2.28,-0.44,-11.13,10.56
"Sulfachloropyridazine",-2.79,-2.81,-15.64,-7.79
"Sulfadiazine",-1.62,-10.41,-9.02,-0.85
"Sulfadimethoxine",0.84,-5.92,3.32,-2.46
"Sulfadoxine",-3.73,-0.08,-24.87,-3.71
"Sulfaguanidine",-18.13,6.49,16.5,7.25
"Sulfamerazine",-8.39,5.13,9.51,0.99
"Sulfameter",4.2,13.73,6.11,1.58
"Sulfamethazine sodium salt",1.09,10.38,9.27,3.64
"Sulfamethizole",-2.53,-12.01,4.71,-0.33
"Sulfamethoxazole",-6.78,5,27.4,-5.24
"Sulfamethoxypyridazine",0.02,0.38,10.41,3.22
"Sulfamonomethoxine",-12.39,-9.65,-11.4,-3.1
"Sulfanilamide",5.9,-10.32,-15.32,-1.04
"Sulfaphenazole",2.11,100,79.01,-17.57
"Sulfapyridine",-2.48,-18.58,7.65,-8.16
"Sulfaquinoxaline sodium salt",9.23,9.27,-0.1,6.76
"Sulfasalazine",0.62,1.71,10.04,-1.83
"Sulfathiazole",-3.61,0.96,-4,4.58
"Sulfinpyrazone",-0.81,-6.81,13.45,-9.08
"Sulfisoxazole",5.2,-8.48,-9.03,-2.87
"Sulindac",-5.34,-49.77,27.14,9.45
"Sulmazole",-7.65,20.75,4.52,3.37
"Suloctidil",100,82.79,-599.18,90.76
"Sulpiride",2.39,7.63,10.24,13.8
"Suprofen",-1.06,-11.24,-9.3,3.19
"Suxibuzone",-2.49,-2.52,11.98,-5.63
"Syrosingopine",-10.33,18.35,3.06,-8.73
"Tacrine hydrochloride hydrate",9.57,78.77,16.03,-5.67
"Talampicillin hydrochloride",-3.94,22.72,36.58,-3.94
"Tamoxifen citrate",21.87,NA,NA,96.82
"Telenzepine dihydrochloride",-12.52,-7.18,7.79,5.14
"Tenoxicam",-1.54,2.71,-6.28,-5.95
"Terazosin hydrochloride",4.45,-5.35,21.09,2.35
"Terbutaline hemisulfate",2.66,-36.86,-8.06,0.75
"Terconazole",NA,67.9,86.37,NA
"Terfenadine",-0.57,99.49,100,-2.54
"Testosterone propionate",-13.63,0.36,11.76,-6.17
"TetracaÃ¯Â¿Â½ne hydrochloride",-2.59,11.45,23.03,-5.76
"Tetracycline hydrochloride",0.12,4.06,0.89,-13.48
"Tetrahydroxy-1,4-quinone monohydrate",-6.95,6.93,-5.17,9.36
"Tetrahydrozoline hydrochloride",0.13,-6.15,-22.17,-3.55
"Tetramisole hydrochloride",1.7,2.64,6.27,2.27
"Tetrandrine",-5.09,32.6,28.47,-0.69
"Thalidomide",-6.7,-10.08,-5.71,-1.89
"Theobromine",12.73,-2.84,-13.63,3.76
"Theophylline monohydrate",-7.65,3.27,-20.76,1.23
"Thiamine hydrochloride",-2.52,-5.76,-7.03,3.13
"Thiamphenicol",5.8,10.78,-34.11,-2.95
"Thiethylperazine malate",97.67,89.9,100,97.68
"Thiocolchicoside",5.24,-16.31,-6.73,-11.04
"Thioguanosine",-3.68,-8.37,-30.11,3.34
"Thioperamide maleate",-1.12,8.57,11.45,-2.65
"Thioproperazine dimesylate",0.5,26.88,27.46,2.08
"Thioridazine hydrochloride",-5.42,97.77,81.51,2.39
"Thiorphan",-4.94,-153.21,0.79,3.82
"Thiostrepton",-2.03,18.16,21.88,-4.8
"THIP Hydrochloride",3.3,-2.84,3.4,3.29
"Thonzonium bromide",NA,-8.18,-208,NA
"Thyroxine (L)",0.84,11.02,45.4,3.4
"Tiabendazole",-33.39,-7.76,97.25,69.78
"Tiapride hydrochloride",-8.99,13.34,4.53,-5.63
"Tiaprofenic acid",-3.71,-33.78,5.8,2.49
"Ticarcillin sodium",-5.91,-13.28,-5.8,-5.9
"Ticlopidine hydrochloride",2.95,-9.48,-15.72,4.37
"Tiletamine hydrochloride",-7.31,-8.56,17.66,-7.32
"Timolol maleate salt",2.11,-8.72,7.96,5.87
"Tinidazole",-3.59,-6.08,-23.23,0.16
"Tiratricol, 3,3-,5-triiodothyroacetic acid",22.42,-2.98,23.63,14.77
"Tobramycin",-1.1,-3.25,22.67,-10.93
"Tocainide hydrochloride",5.54,-3.1,0.7,5.53
"Tocopherol (R,S)",-10.2,-8.09,47.51,-8.01
"Todralazine hydrochloride",2.16,-20.49,-11.06,-18.58
"Tolazamide",-0.8,-48.66,-7.56,-10.41
"Tolazoline hydrochloride",0.73,-12.34,0.71,5.41
"Tolbutamide",2.7,-8.05,1.2,-5.29
"Tolfenamic acid",26.47,NA,-48.94,11.28
"Tolmetin sodium salt dihydrate",0.47,-20.47,-1,1.3
"Tolnaftate",1.36,64.93,45.57,-5.2
"Tomatidine",-168.2,57.14,52.91,100
"Tomatine",1.14,10.66,11.5,-0.49
"Torsemide",4.38,8.83,-12.8,4.37
"Tracazolate hydrochloride",9.97,47.92,40.41,9.98
"Tranexamic acid",-17.14,-3.6,-12.11,-11.38
"Tranylcypromine hydrochloride",7.9,0.11,3.02,8.84
"Trapidil",1.69,-2.77,6.38,1.69
"Trazodone hydrochloride",-11.39,-0.62,0.11,21.81
"Tremorine dihydrochloride",-3.3,4.69,5.28,3.93
"Triamcinolone",-0.02,-16.82,-36.46,-2.11
"Triamterene",-2.24,-4.36,3.31,0.24
"Tribenoside",4.08,2.93,29.2,4.08
"Trichlorfon",11.33,-16.31,4.26,-7.32
"Trichlormethiazide",-6.88,-6.01,-9,-4.25
"Tridihexethyl chloride",2.43,5.96,-8.79,2.44
"Trifluoperazine dihydrochloride",-5.77,100,89.85,31.08
"Triflupromazine hydrochloride",-8.97,95.08,69.54,8.53
"Trifluridine",-2.6,-6.76,-38.64,-2.59
"Triflusal",1.99,13.18,0.28,11.91
"Trigonelline",-2.71,15.74,-5.97,-4.82
"Trihexyphenidyl-D,L Hydrochloride",-0.17,-26.04,7.61,-8.81
"Trimeprazine tartrate",-0.8,47.71,18.53,-6.56
"Trimetazidine dihydrochloride",-0.33,-14.3,-0.7,-2.01
"Trimethadione",-13.89,5.98,-12.18,-0.59
"Trimethobenzamide hydrochloride",5.16,-10.18,-4.8,-18.18
"Trimethoprim",-8.44,-0.59,-14.78,8.9
"Trimethylcolchicinic acid",-3.61,55.78,95.12,12.93
"Trimipramine maleate salt",5.65,50,20.18,12.2
"Trioxsalen",0.44,7.72,-21.52,1.67
"Triprolidine hydrochloride",-4.67,-10.09,-2.62,1.09
"Troleandomycin",1.88,14.78,18.46,-0.05
"Trolox",4.04,-7.9,-2.31,2.89
"Tropicamide",8.86,-12.69,-4.37,-0.48
"Tropine",3.7,6.47,-19.53,3.7
"Tubocurarine chloride pentahydrate (+)",1.93,20.2,-6.45,-11.78
"Tyloxapol",4.05,43.16,6.11,-5.45
"Ungerine nitrate",3.97,8.61,-14.78,-0.13
"Urapidil hydrochloride",2.39,13.27,-13.3,-2.71
"Urosiol",-6.1,-17.13,17.66,-3.1
"Ursolic acid",6.51,45.12,-7.18,-25.51
"Vancomycin hydrochloride",10.14,-7.94,7.34,7.09
"Verapamyl hydrochloride",-1.54,-7.46,9.13,-6.14
"Verteporfin",3.72,16.2,-37.61,3.73
"Vidarabine",-6.8,-5.18,-19.14,3.73
"Vigabatrin",-0.29,16.83,-31.08,7.28
"Vincamine",3.73,-6.89,5.57,-10.31
"Vinpocetine",2.92,17.19,10.87,4.01
"Viomycin sulfate",-1.27,-1.24,-4.82,-1.26
"Vitamin K2",-1.55,-16.38,-25.58,-1.54
"Vitexin",0.03,-0.47,9.51,-2.19
"Xamoterol hemifumarate",-2.68,-2.8,0.94,-3.53
"Xylazine",-10.87,21.3,-41.62,-6.38
"Xylometazoline hydrochloride",-3.23,12.17,0.84,-4.95
"Yohimbine hydrochloride",-2.27,0.32,-14.56,-1.48
"Yohimbinic acid monohydrate",7.39,-28.19,12.57,-3.67
"Zalcitabine",4.79,-10.41,-6.53,4.79
"Zaprinast",-2.19,6.21,-6.45,3.13
"Zardaverine",9.07,-14.15,24.58,9.06
"Zidovudine, AZT",-6.39,-8.24,-21.3,-7.69
"Zimelidine dihydrochloride monohydrate",2.26,7.19,-31.91,0.04
"Zomepirac sodium salt",6.16,-8.82,3.92,0.84
"Zoxazolamine",-11.1,-53.94,-116.3,-11.35
"Zuclopenthixol hydrochloride",18.98,82.25,92.11,18.98
