"compound","cal","cne","sce","spo"
"dyclonine hydrochloride_AmpB",104.355,97.99,103.41,6.65
"dyclonine hydrochloride_Ben",85.635,92.66,96.78,-0.68
"dyclonine hydrochloride_CF",99.645,101.125,102.16,58.52
"dyclonine hydrochloride_Cyp",100.215,79.46,99.16,15.44
"dyclonine hydrochloride_DMSO",99.22,91.85,98.36,0.91
"dyclonine hydrochloride_FL",102.805,81.975,101.54,23.1
"dyclonine hydrochloride_TB",100.305,97.27,103.26,70.07
"dydrogesterone_AmpB",96.45,98.67,97.64,100.23
"dydrogesterone_Ben",92.13,83,99.38,97.84
"dydrogesterone_CF",97.09,99.63,98.89,97
"dydrogesterone_Cyp",100.54,96.83,98.55,98.55
"dydrogesterone_DMSO",93.09,98.79,92.72,99.9
"dydrogesterone_FL",127.97,100.07,100.96,96.5
"dydrogesterone_TB",81.35,85.24,104.11,102.57
"e-64_AmpB",103.01,99.585,93.26,104.21
"e-64_Ben",100.585,111.515,97.91,101.99
"e-64_CF",101.025,101.48,97.47,103.47
"e-64_Cyp",100.745,79.405,100.91,102.93
"e-64_DMSO",100.105,104.2,98.96,98.28
"e-64_FL",103.565,101.87,98.54,100.56
"e-64_TB",104.34,102.56,96.39,102.59
"e-64-c_AmpB",103.38,96.92,104.47,102.43
"e-64-c_Ben",98.24,96.9,105.67,99.53
"e-64-c_CF",95.39,99.67,106.18,102.13
"e-64-c_Cyp",100.11,48.99,99.53,101.59
"e-64-c_DMSO",104.14,105.61,100.63,100.45
"e-64-c_FL",99.96,76.95,97.7,103.11
"e-64-c_TB",98.01,126.08,102.87,102.27
"e-64-d_AmpB",103.98,97.52,106.11,101.64
"e-64-d_Ben",102.93,45.62,104.23,99.83
"e-64-d_CF",93.89,99.43,104.19,102.36
"e-64-d_Cyp",97.01,108.98,102,101.14
"e-64-d_DMSO",100.91,97.31,105.26,100.75
"e-64-d_FL",103.35,100.29,99.24,100.72
"e-64-d_TB",99.01,105.06,106.02,102.54
"e6 berbamine_AmpB",99.59,101.57,101.29,103.43
"e6 berbamine_Ben",103.39,103.82,102.29,102.14
"e6 berbamine_CF",88.66,100.88,100.97,105.3
"e6 berbamine_Cyp",101.96,101.66,100.32,100.34
"e6 berbamine_DMSO",99.73,101.83,105.03,100.97
"e6 berbamine_FL",86.74,72.19,105.76,102.16
"e6 berbamine_TB",97.7,82.1,107.17,101.74
"ebelactone b_AmpB",86.5,78.28,104,93.11
"ebelactone b_Ben",96.29,97.25,103.33,87.57
"ebelactone b_CF",88.27,89.44,106.77,93.04
"ebelactone b_Cyp",92.42,45.9,103.77,96.41
"ebelactone b_DMSO",85.39,94.35,107.99,96.28
"ebelactone b_FL",129.52,91.42,108.23,90.34
"ebelactone b_TB",94.75,96.63,107,95.88
"ebselen_AmpB",-3.66333333333333,-0.65,-2.5,-0.41
"ebselen_Ben",-0.376666666666667,-1.54,-1.97,-0.77
"ebselen_CF",0.09,-0.133333333333333,-2.13,-2.69
"ebselen_Cyp",-0.0533333333333333,-0.583333333333333,-1.93,-1.14
"ebselen_DMSO",-5.68333333333333,-2.23666666666667,-2.53,-0.94
"ebselen_FL",-8.48,-6.29666666666667,-1.9,-2.12
"ebselen_TB",0.04,-6.58666666666667,-3.68,-2.56
"eburnamonine (-)_AmpB",99.34,104.2,98.07,100.01
"eburnamonine (-)_Ben",101.66,100.69,99.58,102.22
"eburnamonine (-)_CF",102.95,100.62,102.83,101.17
"eburnamonine (-)_Cyp",102.74,106.4,99.81,100.44
"eburnamonine (-)_DMSO",101.96,101.92,106.86,101.28
"eburnamonine (-)_FL",78.32,106.79,99.37,102.87
"eburnamonine (-)_TB",102.49,105.91,100.55,101.28
"ecdysone_AmpB",99.27,98.23,92.61,101.01
"ecdysone_Ben",99.93,99.06,99.16,99.2
"ecdysone_CF",100.07,126.15,102.11,98.9
"ecdysone_Cyp",100.95,98.43,96.07,100.57
"ecdysone_DMSO",98.84,97.31,100.24,100.15
"ecdysone_FL",101.49,80.8,99.89,101.74
"ecdysone_TB",99.67,100.9,94.73,100.94
"echinomycin_AmpB",-4.03,1.17,-2.61,-4.67
"echinomycin_Ben",92.13,96.57,91.38,-1.6
"echinomycin_CF",1.18,26.48,-1.79,-3.94
"echinomycin_Cyp",102.01,1.45,98.91,-1.72
"echinomycin_DMSO",105.96,32.69,94.01,-1.37
"echinomycin_FL",62.6,109.1,93.95,-2.6
"echinomycin_TB",24.19,86.04,-2.81,-3.42
"econazole nitrate_AmpB",15.635,0.825,-1.37,-1.26
"econazole nitrate_Ben",3.08,-1.03,-1.4,-1.48
"econazole nitrate_CF",-0.33,-0.235,-0.89,-3.37
"econazole nitrate_Cyp",0.95,-0.37,-2.04,-1.37
"econazole nitrate_DMSO",5.96,-0.01,-1.57,-1.34
"econazole nitrate_FL",9.665,-13.34,-1.37,-1.84
"econazole nitrate_TB",-0.07,-7.705,-1.89,-2.94
"edoxudine_AmpB",98.59,107.12,98.69,96.74
"edoxudine_Ben",101.71,101.34,88.71,94.29
"edoxudine_CF",105.23,99.48,103.47,100.88
"edoxudine_Cyp",100.95,104.78,100.39,90.83
"edoxudine_DMSO",97.74,98.18,98.14,97.81
"edoxudine_FL",101.24,99.77,97.1,98.02
"edoxudine_TB",103.82,103.55,96.76,98.84
"edrophonium chloride_AmpB",102.23,93.89,100.77,99.95
"edrophonium chloride_Ben",102.723333333333,101.923333333333,99.71,100.29
"edrophonium chloride_CF",102.013333333333,103.536666666667,96.8,98.51
"edrophonium chloride_Cyp",101.523333333333,87.3333333333333,85.38,101.5
"edrophonium chloride_DMSO",99.5866666666667,92.97,97.75,98.16
"edrophonium chloride_FL",102.433333333333,104.92,96.21,99.23
"edrophonium chloride_TB",101.893333333333,113.816666666667,90.8,99.42
"efaroxan hydrochloride_AmpB",99.3,100.73,103.08,100.69
"efaroxan hydrochloride_Ben",102.12,99.44,98.36,100.35
"efaroxan hydrochloride_CF",99.6,100.46,98.77,97.11
"efaroxan hydrochloride_Cyp",104.05,81.16,102.38,102.61
"efaroxan hydrochloride_DMSO",99.68,99.76,100.69,99.17
"efaroxan hydrochloride_FL",115.12,87.62,97.57,101.13
"efaroxan hydrochloride_TB",99.94,101.52,101.7,98.96
"eliprodil_AmpB",101.59,99.96,104.5,98.72
"eliprodil_Ben",99.16,116.2,100.12,99.04
"eliprodil_CF",99.7,102.04,99.6,100.06
"eliprodil_Cyp",100.99,124.43,96.99,100.75
"eliprodil_DMSO",100.63,100.72,103.23,100.98
"eliprodil_FL",105.75,6.55,98.24,92.74
"eliprodil_TB",70.29,6.34,99.75,101.35
"ellagic acid_AmpB",98.58,106.555,107.05,99.42
"ellagic acid_Ben",100.91,102.705,100.96,97.65
"ellagic acid_CF",101.62,99.64,101.3,98.63
"ellagic acid_Cyp",101.085,104.06,103.73,98.53
"ellagic acid_DMSO",101.91,104.19,96.68,99.2
"ellagic acid_FL",95.12,94.58,96.24,102.29
"ellagic acid_TB",99.965,109.56,85.02,97.58
"ellipticine_AmpB",63.1733333333333,73.7133333333333,104,100.95
"ellipticine_Ben",83.8033333333333,72.2666666666667,93.77,100.56
"ellipticine_CF",0.15,73.1,91.78,101.02
"ellipticine_Cyp",99.81,60.3933333333333,101.81,101.13
"ellipticine_DMSO",98.9466666666667,64.5666666666667,104.13,100.88
"ellipticine_FL",53.8066666666667,69.3766666666667,94.08,103.3
"ellipticine_TB",54.8066666666667,54.3666666666667,98.31,102.18
"embelin_AmpB",62.96,1.36,35.43,99.21
"embelin_Ben",48.17,68.76,65.63,96.95
"embelin_CF",94.3,58.02,104.53,103.63
"embelin_Cyp",27.35,104.06,74.77,100.06
"embelin_DMSO",61.65,44.46,80.98,98.97
"embelin_FL",107.33,46.41,97.96,101.84
"embelin_TB",83.41,74.61,76.82,100
"emetine dihydrochloride_AmpB",100.45,105.44,104.66,99.07
"emetine dihydrochloride_Ben",107.11,105.33,101.26,98.69
"emetine dihydrochloride_CF",99.89,99.07,101.35,98.66
"emetine dihydrochloride_Cyp",99.11,96.4,99.09,102.9
"emetine dihydrochloride_DMSO",99.29,99.25,103.51,101.58
"emetine dihydrochloride_FL",107.54,104.35,99.69,99.1
"emetine dihydrochloride_TB",97.61,98.91,98.43,99.81
"emodin_AmpB",82.94,58.41,79,94.78
"emodin_Ben",82.485,97.675,85.04,97.42
"emodin_CF",89.21,84.8,77.41,98.94
"emodin_Cyp",87.32,64.685,82.27,92.54
"emodin_DMSO",79.965,98.16,70.69,95.57
"emodin_FL",99.175,96.995,78.35,94.34
"emodin_TB",86.96,83.82,74.43,97.33
"enalapril maleate_AmpB",99.035,97.925,98.58,100.4
"enalapril maleate_Ben",100.56,95.625,102.08,99.87
"enalapril maleate_CF",100.1,100.49,94.54,101.03
"enalapril maleate_Cyp",100.755,84.47,101.02,99.99
"enalapril maleate_DMSO",98.295,97.445,98.57,100.44
"enalapril maleate_FL",96.505,111.195,102.67,100.09
"enalapril maleate_TB",102.51,100.985,105.12,100.16
"endosulfan_AmpB",100.92,88.5,102.62,102.66
"endosulfan_Ben",102.87,97.59,107.14,100.85
"endosulfan_CF",101.2,102.44,105.41,101.95
"endosulfan_Cyp",97.19,87.06,104.75,88.43
"endosulfan_DMSO",100.52,97.7,102.76,101.42
"endosulfan_FL",103.89,98.34,102.43,100.08
"endosulfan_TB",101.51,105.52,105.35,98.81
"endothall_AmpB",98.82,105.36,100.42,99.95
"endothall_Ben",99.87,89.7,97.53,101.9
"endothall_CF",100.3,101.06,99.39,101.82
"endothall_Cyp",103.71,125.22,102.51,100.85
"endothall_DMSO",102.76,96.39,98.65,100.44
"endothall_FL",93.46,108.22,94.9,99.81
"endothall_TB",105.52,102.97,102.98,101.51
"endrin_AmpB",100.28,114.44,102.27,99.04
"endrin_Ben",97.42,111.38,103.25,104.79
"endrin_CF",101.21,71.73,100.73,101.25
"endrin_Cyp",51.73,106.46,86.1,102.71
"endrin_DMSO",98.9,97.78,102.45,98.54
"endrin_FL",98.51,97.35,101.72,95.79
"endrin_TB",101.78,104.31,97.88,100.81
"enilconazole_AmpB",77.08,116.92,-2.03,35.15
"enilconazole_Ben",27.7,70.83,-0.92,-1.47
"enilconazole_CF",0.08,75.33,0.9,-3.59
"enilconazole_Cyp",4.33,107.95,-1.86,99.32
"enilconazole_DMSO",54.41,102.21,-1.84,100.17
"enilconazole_FL",6.77,86.83,-1.2,-1.01
"enilconazole_TB",0.21,106.6,-1.48,-3.34
"enoxacin_AmpB",102.64,95.57,99.66,100.01
"enoxacin_Ben",100.68,104.34,100.79,99.93
"enoxacin_CF",99.91,109.23,100.32,99.3
"enoxacin_Cyp",102.25,94.55,99.1,103.36
"enoxacin_DMSO",100.39,104.47,95.75,102.73
"enoxacin_FL",100.65,118.41,97.95,100.49
"enoxacin_TB",100.88,75.79,99.03,103.8
"enoximone_AmpB",103.01,102.54,96.8,99.75
"enoximone_Ben",100.95,77.31,97.92,101.76
"enoximone_CF",101.24,104.16,99.23,98.43
"enoximone_Cyp",104.34,102.51,100.69,99.82
"enoximone_DMSO",100.25,101.4,99.92,99.8
"enoximone_FL",104.66,87.23,100.47,100.95
"enoximone_TB",99.14,98.97,100.66,96.37
"entandrophragmin_AmpB",-1.7,0.32,105.24,103.16
"entandrophragmin_Ben",100.54,101.01,56.44,102.92
"entandrophragmin_CF",1.98,71.27,103.98,105.51
"entandrophragmin_Cyp",100.63,95.16,99.23,104.72
"entandrophragmin_DMSO",102.89,83.09,102.76,101.54
"entandrophragmin_FL",105.15,104.99,103.34,104.22
"entandrophragmin_TB",102.3,101.43,107.46,103.93
"ephedrine (1r,2s) hydrochloride_AmpB",104.29,95.3,96.17,102.33
"ephedrine (1r,2s) hydrochloride_Ben",103.64,100.37,78.5,104.02
"ephedrine (1r,2s) hydrochloride_CF",97.3,101.7,97.31,102.58
"ephedrine (1r,2s) hydrochloride_Cyp",101.05,99.13,89.97,99.49
"ephedrine (1r,2s) hydrochloride_DMSO",96.58,100.38,97.63,98.1
"ephedrine (1r,2s) hydrochloride_FL",98.25,108.29,95.32,101.36
"ephedrine (1r,2s) hydrochloride_TB",102.55,105.16,96.09,103.8
"epi(13)torulosol_AmpB",95.99,95.84,96.48,96.73
"epi(13)torulosol_Ben",99.9,102.39,99.92,106.6
"epi(13)torulosol_CF",94.57,99.96,93.34,100.82
"epi(13)torulosol_Cyp",98.84,92.48,103.73,95
"epi(13)torulosol_DMSO",96.48,97.42,93.89,90.93
"epi(13)torulosol_FL",98.34,75.12,95.81,101.92
"epi(13)torulosol_TB",98.08,100.87,100.88,102
"epiafzelechin (2r,3r)(-)_AmpB",98.93,98.44,101.1,100.58
"epiafzelechin (2r,3r)(-)_Ben",106.48,102.9,101.63,102.89
"epiafzelechin (2r,3r)(-)_CF",100.21,98.86,110.54,101.92
"epiafzelechin (2r,3r)(-)_Cyp",101.99,102.32,106.42,107.52
"epiafzelechin (2r,3r)(-)_DMSO",102,104.05,101.18,97.82
"epiafzelechin (2r,3r)(-)_FL",97.67,107.61,104.53,101.85
"epiafzelechin (2r,3r)(-)_TB",99.42,101.13,100.68,101.56
"epiafzelechin trimethyl ether_AmpB",99.24,101.69,100.41,99.49
"epiafzelechin trimethyl ether_Ben",98.11,97.42,99.37,44.73
"epiafzelechin trimethyl ether_CF",99.53,99,104.37,19.29
"epiafzelechin trimethyl ether_Cyp",98.58,95.91,105.47,23.1
"epiafzelechin trimethyl ether_DMSO",98.56,97.52,104.71,12.47
"epiafzelechin trimethyl ether_FL",95.99,102.96,103.12,88.74
"epiafzelechin trimethyl ether_TB",101.6,80.95,101.86,73.79
"epiandrosterone_AmpB",90.05,99.025,91.33,96.78
"epiandrosterone_Ben",91.415,98.505,87.31,98.84
"epiandrosterone_CF",92.17,92.36,46.32,101.64
"epiandrosterone_Cyp",93.715,95.98,99.95,96.99
"epiandrosterone_DMSO",89.405,89.435,96.06,97.5
"epiandrosterone_FL",102.73,33.38,104.2,100.31
"epiandrosterone_TB",92.745,72.78,57.77,98.43
"epibestatin hydrochloride_AmpB",101.11,100.85,104.67,99.46
"epibestatin hydrochloride_Ben",100.3,101.52,97.78,98.19
"epibestatin hydrochloride_CF",99.7,111.65,100.47,102.15
"epibestatin hydrochloride_Cyp",98.97,114.11,101.03,101.91
"epibestatin hydrochloride_DMSO",103.83,105.02,95.94,103.61
"epibestatin hydrochloride_FL",103,106.31,99.43,97.78
"epibestatin hydrochloride_TB",101.95,99.53,95.46,99.69
"epicatechin monogallate_AmpB",99.74,107.93,99.77,86.19
"epicatechin monogallate_Ben",105.01,99.97,99.11,41.88
"epicatechin monogallate_CF",99.43,81.53,103.04,89.98
"epicatechin monogallate_Cyp",101.06,103.34,102.11,18.2
"epicatechin monogallate_DMSO",103.65,105.74,101.03,103.38
"epicatechin monogallate_FL",102.85,106.26,101.57,96.5
"epicatechin monogallate_TB",96.59,104.78,97.85,99.28
"epicatechin pentaacetate_AmpB",100.99,96.18,103.28,102.56
"epicatechin pentaacetate_Ben",101.97,94.37,110.15,84.13
"epicatechin pentaacetate_CF",92.45,100.68,96.75,47.55
"epicatechin pentaacetate_Cyp",100.07,99.9,98.99,27.97
"epicatechin pentaacetate_DMSO",101.79,100.65,102.3,100.13
"epicatechin pentaacetate_FL",103.35,87.29,101.37,105.41
"epicatechin pentaacetate_TB",94.6,83.79,98.27,96.46
"epicatechin-(-)_AmpB",97.53,94.76,105.34,98.83
"epicatechin-(-)_Ben",100.96,96.91,100.29,100.87
"epicatechin-(-)_CF",100.6,96.84,104.28,99.95
"epicatechin-(-)_Cyp",96.81,106.84,102.58,100.96
"epicatechin-(-)_DMSO",102.62,102.54,100.21,100
"epicatechin-(-)_FL",96.87,94.93,99.39,98.67
"epicatechin-(-)_TB",103.83,62.82,99.81,100.49
"epicholestanol_AmpB",98.15,102.59,103.7,98.88
"epicholestanol_Ben",101.32,105.22,102.66,105
"epicholestanol_CF",95.44,98.67,105.05,103.44
"epicholestanol_Cyp",98.43,104.12,107.01,100.83
"epicholestanol_DMSO",101.5,103.76,100.72,98.94
"epicholestanol_FL",100.4,126.12,106.97,101.12
"epicholestanol_TB",101.64,80.34,101.14,99.31
"epigallocatechin 3,5-digallate_AmpB",102.78,101.31,103.2,100.16
"epigallocatechin 3,5-digallate_Ben",105.99,99.64,103.03,106.77
"epigallocatechin 3,5-digallate_CF",105.71,100.45,102.31,103.6
"epigallocatechin 3,5-digallate_Cyp",100.81,109.06,101.37,104.44
"epigallocatechin 3,5-digallate_DMSO",101.97,101.91,102.3,101.59
"epigallocatechin 3,5-digallate_FL",98.2,99.13,101.54,99.3
"epigallocatechin 3,5-digallate_TB",102.38,81.73,101.6,104.54
"epirizole_AmpB",101.18,100.42,100.46,99.34
"epirizole_Ben",95.1,115.9,102.86,100.78
"epirizole_CF",97.72,78.32,104.07,96.72
"epirizole_Cyp",98.66,91.69,106.17,99.47
"epirizole_DMSO",99.39,99.48,104.13,99.42
"epirizole_FL",99.21,92.89,100.39,102.15
"epirizole_TB",97.65,99.41,98.92,101.49
"epitiostanol_AmpB",100.96,103.2,100,98.82
"epitiostanol_Ben",101.42,101.49,95.24,100
"epitiostanol_CF",100.25,98.32,95.83,97.39
"epitiostanol_Cyp",99.26,87.11,102.32,96.61
"epitiostanol_DMSO",98.44,101.34,97.21,97.61
"epitiostanol_FL",128.66,102.14,101.9,98.36
"epitiostanol_TB",97.54,110.08,97.42,99.87
"epivincamine_AmpB",99.37,106.95,104.81,99.85
"epivincamine_Ben",96.77,94.68,93.82,101.52
"epivincamine_CF",103.22,97.41,102.88,100.75
"epivincamine_Cyp",99.72,84.78,100.29,100.97
"epivincamine_DMSO",98.97,99.19,96.67,100.48
"epivincamine_FL",98.59,93.28,102.02,102.92
"epivincamine_TB",101.31,102.91,101.38,99.73
"epoxy (4,5alpha)-4,5-dihydrosantonin_AmpB",105.56,100.92,103.64,101.61
"epoxy (4,5alpha)-4,5-dihydrosantonin_Ben",102.3,102.42,105.64,99.52
"epoxy (4,5alpha)-4,5-dihydrosantonin_CF",102.05,104.22,106.19,100.83
"epoxy (4,5alpha)-4,5-dihydrosantonin_Cyp",101.94,104.49,102.86,101.42
"epoxy (4,5alpha)-4,5-dihydrosantonin_DMSO",97.9,99.87,102.18,99.99
"epoxy (4,5alpha)-4,5-dihydrosantonin_FL",104.61,107.55,100.58,101.09
"epoxy (4,5alpha)-4,5-dihydrosantonin_TB",102.95,103.1,102.99,101.79
"epoxygedunin_AmpB",102.79,89.9,99.97,98.92
"epoxygedunin_Ben",102.67,100.52,99.23,100.02
"epoxygedunin_CF",87.51,74.86,36.49,95.96
"epoxygedunin_Cyp",101.01,107.11,100.25,98.59
"epoxygedunin_DMSO",101.71,103.75,98.95,98.9
"epoxygedunin_FL",104.97,80.94,102.52,84.49
"epoxygedunin_TB",98.68,101.17,97.72,101.07
"equilin_AmpB",93.155,99.09,93.4,99.23
"equilin_Ben",95.795,39.985,96.46,99.49
"equilin_CF",97.99,95.28,100.27,99.83
"equilin_Cyp",94.47,101.635,100.22,102.77
"equilin_DMSO",94.28,100.1,103.22,99.52
"equilin_FL",112.16,98.9,99.48,96.02
"equilin_TB",96.635,51.91,94.58,99.96
"ergocryptine-alpha_AmpB",44.02,2.21,16.3,-0.8
"ergocryptine-alpha_Ben",98.73,93.9,95.02,101.07
"ergocryptine-alpha_CF",0.16,80.06,5.43,99.14
"ergocryptine-alpha_Cyp",100.34,99.52,97.21,101.01
"ergocryptine-alpha_DMSO",103.7,100.32,104.19,101.13
"ergocryptine-alpha_FL",87.73,113.36,100.11,102.96
"ergocryptine-alpha_TB",97.94,104.67,56,102.33
"ergonovine maleate_AmpB",100,125.6,99.5,98.98
"ergonovine maleate_Ben",100.71,100.03,89.39,97.25
"ergonovine maleate_CF",99.45,98.98,62.22,102.81
"ergonovine maleate_Cyp",100.3,109.28,97.87,101.17
"ergonovine maleate_DMSO",101.5,100.36,102.35,103.35
"ergonovine maleate_FL",101.71,98.25,99.25,100.3
"ergonovine maleate_TB",101.37,77.8,98.79,100.31
"eriocitrin_AmpB",101.51,101.79,99.15,101.35
"eriocitrin_Ben",100.22,100.35,100,101.19
"eriocitrin_CF",102.65,99.73,102.08,100.4
"eriocitrin_Cyp",100.12,103.97,100,100.86
"eriocitrin_DMSO",99.97,99.74,102.17,99.7
"eriocitrin_FL",103.11,100.35,97.33,100.52
"eriocitrin_TB",94.84,94.73,94.07,98.91
"eriodictyol_AmpB",94.01,101,102.44,100.43
"eriodictyol_Ben",102.88,101.84,99.61,99.38
"eriodictyol_CF",97.46,97.52,100.85,100.9
"eriodictyol_Cyp",98.85,107.28,100.1,99.46
"eriodictyol_DMSO",96.93,80.96,102.99,99.15
"eriodictyol_FL",103.41,101.32,102.34,100.26
"eriodictyol_TB",102.64,96.25,95.82,98.26
"erysolin_AmpB",92.44,115.94,102.15,103.41
"erysolin_Ben",96.67,96.42,101.76,104.07
"erysolin_CF",97.4,90.85,105.96,101.92
"erysolin_Cyp",91.72,104.6,103.84,99.37
"erysolin_DMSO",94.87,90.4,98.1,102.14
"erysolin_FL",100.57,119.91,103.51,102.46
"erysolin_TB",93.77,97.58,100.83,100.58
"erythro-9-(2-hydroxy-3-nonyl)adenine hydrochloride_AmpB",102.85,103.43,95.9,99.46
"erythro-9-(2-hydroxy-3-nonyl)adenine hydrochloride_Ben",104.76,103.92,98.38,95.73
"erythro-9-(2-hydroxy-3-nonyl)adenine hydrochloride_CF",100.59,102.7,91.02,101.65
"erythro-9-(2-hydroxy-3-nonyl)adenine hydrochloride_Cyp",102.51,102.81,100.26,98.75
"erythro-9-(2-hydroxy-3-nonyl)adenine hydrochloride_DMSO",101.47,102.64,97.21,101.16
"erythro-9-(2-hydroxy-3-nonyl)adenine hydrochloride_FL",97.4,106.02,96.56,98.1
"erythro-9-(2-hydroxy-3-nonyl)adenine hydrochloride_TB",96.15,101.25,102.31,97.36
"erythromycin estolate_AmpB",92.12,5.05,96.77,29.35
"erythromycin estolate_Ben",98.52,98.43,96.2,29.84
"erythromycin estolate_CF",22.15,97.65,91.37,4.92
"erythromycin estolate_Cyp",99.1,109.36,101.23,18.54
"erythromycin estolate_DMSO",99.18,97.18,99.9,83.78
"erythromycin estolate_FL",95.5,102.13,100.65,84.96
"erythromycin estolate_TB",93.58,97.46,101.65,93.48
"erythromycin ethylsuccinate_AmpB",101.06,100.24,99.4,95.37
"erythromycin ethylsuccinate_Ben",102.73,111.78,96.15,15.33
"erythromycin ethylsuccinate_CF",99.41,100.93,76.95,34.22
"erythromycin ethylsuccinate_Cyp",101.57,101.63,99.86,62.28
"erythromycin ethylsuccinate_DMSO",99.84,99.78,101.48,49.52
"erythromycin ethylsuccinate_FL",99.59,83.22,101.44,89.5
"erythromycin ethylsuccinate_TB",102.56,103.86,97.83,88.47
"erythromycin_AmpB",97.985,93.665,104.08,98.97
"erythromycin_Ben",102.8,101.565,97.92,101.29
"erythromycin_CF",85.55,99.325,105.82,97.69
"erythromycin_Cyp",99.735,104.31,101.45,101.74
"erythromycin_DMSO",100.59,100.475,99.78,99.58
"erythromycin_FL",99.875,89.35,99.97,10.47
"erythromycin_TB",101.88,101.835,104.7,97.27
"esculetin_AmpB",100.055,101.65,103.61,98.74
"esculetin_Ben",101.985,102.52,98.57,103.8
"esculetin_CF",102.53,101.175,99.76,92.47
"esculetin_Cyp",102.9,98.885,96.33,103.74
"esculetin_DMSO",99.91,99.67,100.75,96.83
"esculetin_FL",95.74,98.465,105.56,100.23
"esculetin_TB",93.585,96.845,103.3,100.42
"esculin hydrate_AmpB",105.43,97.7,100.3,100.99
"esculin hydrate_Ben",103,53.1,103.76,100.86
"esculin hydrate_CF",99.7,103.64,103.61,100.53
"esculin hydrate_Cyp",102.99,97.11,99.57,99.91
"esculin hydrate_DMSO",101.34,103.98,103.6,101.18
"esculin hydrate_FL",99,93.42,100.62,99.15
"esculin hydrate_TB",99.64,101.38,97.38,101.21
"eserine sulfate, physostigmine sulfate_AmpB",98.17,98.21,100.62,98.63
"eserine sulfate, physostigmine sulfate_Ben",90.46,99.24,98.37,97.73
"eserine sulfate, physostigmine sulfate_CF",101.55,123.02,99.82,97.51
"eserine sulfate, physostigmine sulfate_Cyp",96.57,103.53,97.6,97.36
"eserine sulfate, physostigmine sulfate_DMSO",97.67,97.63,99.61,97.18
"eserine sulfate, physostigmine sulfate_FL",92.21,92.89,98.41,98.3
"eserine sulfate, physostigmine sulfate_TB",99.88,100.36,94.06,99.15
"estradiol acetate_AmpB",98.06,86.39,102.5,97.02
"estradiol acetate_Ben",96.87,96.21,70.33,44.11
"estradiol acetate_CF",107.09,97.07,96.85,65.72
"estradiol acetate_Cyp",98.2,80.39,103.28,28.18
"estradiol acetate_DMSO",98.55,98.36,98.5,40.03
"estradiol acetate_FL",102.61,97.42,98.4,67.12
"estradiol acetate_TB",99.83,2.52,99.05,87.24
"estradiol cypionate_AmpB",97.1,100.57,95.34,100.71
"estradiol cypionate_Ben",95.6,93.95,27.16,97.57
"estradiol cypionate_CF",95.52,98.55,68.63,97.19
"estradiol cypionate_Cyp",99.98,103.15,82.85,100
"estradiol cypionate_DMSO",91.97,86.13,99.09,101.79
"estradiol cypionate_FL",97.65,87.93,91.94,102.03
"estradiol cypionate_TB",96.97,93.49,96.19,101
"estradiol diacetate_AmpB",94.84,93.93,95.77,96.65
"estradiol diacetate_Ben",96.5,100.93,101.85,99.37
"estradiol diacetate_CF",50.9,104.56,0.86,94.35
"estradiol diacetate_Cyp",97.69,103.94,101.44,92.1
"estradiol diacetate_DMSO",90.71,105.18,100.12,92.1
"estradiol diacetate_FL",99.33,102.31,93.11,98.63
"estradiol diacetate_TB",91.41,95.62,101.19,98.13
"estradiol methyl ether_AmpB",96.69,97.28,101.08,100
"estradiol methyl ether_Ben",95.61,99.02,103.74,115.19
"estradiol methyl ether_CF",98.69,93.63,105.07,103.11
"estradiol methyl ether_Cyp",94.94,96.72,99.06,96.14
"estradiol methyl ether_DMSO",98.32,106.03,100.48,99.05
"estradiol methyl ether_FL",109.73,104.06,102.5,101.85
"estradiol methyl ether_TB",92.39,96,103.7,106.61
"estradiol propionate_AmpB",95.99,2.58,105.32,99.32
"estradiol propionate_Ben",97.77,98.06,107.99,110.48
"estradiol propionate_CF",101.96,97.6,100.05,105.89
"estradiol propionate_Cyp",99.6,101.29,97.17,107.92
"estradiol propionate_DMSO",99.61,90.45,100.81,99.92
"estradiol propionate_FL",106.73,102.51,99.45,97.26
"estradiol propionate_TB",97.64,-8.93,104.73,101.56
"estradiol valerate_AmpB",97.19,102.56,93.82,101.28
"estradiol valerate_Ben",101.4,104.38,105.76,98.46
"estradiol valerate_CF",60.88,96.35,97.6,96.86
"estradiol valerate_Cyp",98.54,104.78,103.97,100
"estradiol valerate_DMSO",97.49,97.43,100.74,97.65
"estradiol valerate_FL",93.45,106.07,102.58,101.09
"estradiol valerate_TB",95.01,85.47,100.03,97.43
"estradiol-17 beta_AmpB",94.04,99.11,101.69,97.85
"estradiol-17 beta_Ben",100.08,98.33,97.42,97.5
"estradiol-17 beta_CF",97.63,94.05,98.13,97.03
"estradiol-17 beta_Cyp",93.31,102.26,102.84,96.54
"estradiol-17 beta_DMSO",95.82,95.78,99.73,100.41
"estradiol-17 beta_FL",123.49,96.94,97.44,100.27
"estradiol-17 beta_TB",91.19,101.05,103.76,96.06
"estradiol-3-sulfate, sodium salt_AmpB",99.99,102.24,98,100
"estradiol-3-sulfate, sodium salt_Ben",104.36,104.39,99.42,91.55
"estradiol-3-sulfate, sodium salt_CF",105.53,102.44,110.84,103.49
"estradiol-3-sulfate, sodium salt_Cyp",104.45,102.86,100.23,77.27
"estradiol-3-sulfate, sodium salt_DMSO",106.74,109.63,97.69,97.21
