"compound","cid"
"Deoxycorticosterone",6166
"DEOXYKHIVORIN",6708722
"Deoxyphorbol 13-acetate, 12-",NA
"Deoxyphorbol 13-phenylacetate 20-acetate, 12-",NA
"DEOXYSAPPANONE B 7,3'-DIMETHYL ETHER ACETATE",6708755
"DEOXYSAPPANONE B 7,4'-DIMETHYL ETHER",4026888
"DEOXYSAPPANONE B TRIMETHYL ETHER",4643334
"Deoxyshikonin",98914
"Dephostatin",2990
"Deptropine citrate",6604492
"Dequalinium chloride hydrate",10649
"Dequalinium dichloride",10649
"DERACOXIB",3058754
"DERRUBONE",5810067
"DERRUSNIN",1715307
"DERRUSTONE",629853
"DESACETYLCOLFORSIN",10893929
"Desipramine hydrochloride",65327
"DESIPRAMINE HYDROCHLORIDE",65327
"DESLORATADINE HYDROCHLORIDE",NA
"DESLORATIDINE",124087
"DESMETHYLDIHYDROCAPSAICIN",2998
"DESONIDE",5311066
"DESOXYMETASONE",3000
"Desoxypeganine HCl",3046290
"DESOXYPEGANINE HYDROCHLORIDE",3046290
"DEXAMETHASONE",5743
"Dexamethasone acetate",236702
"DEXAMETHASONE ACETATE",236702
"DEXAMETHASONE SODIUM PHOSPHATE",16961
"DEXCHLORPHENIRAMINE MALEATE",5281070
"DEXPANTHENOL",131204
"DEXPROPRANOLOL HYDROCHLORIDE",66366
"DEXTROMETHORPHAN HYDROBROMIDE",5464025
"Dextromethorphan hydrobromide monohydrate",5462351
"DFB",6604893
"Diacetylkorseveriline",NA
"Diacylglycerol kinase inhibitor I",3012
"Diacylglycerol Kinase Inhibitor II",657356
"DIALLYL SULFIDE",11617
"DIATRIZOIC ACID",2140
"Diazoxide",3019
"DIAZOXIDE",3019
"DIBENZOTHIOPHENE",3023
"DIBENZOYLMETHANE",8433
"Dibucaine",3025
"DIBUCAINE HYDROCHLORIDE",521951
"DICHLOBENIL",3031
"DICHLORISONE ACETATE",5388959
"DICHLORODIPHENYLDICHLOROETHYLENE",3035
"DICHLOROPHENE",3037
"DICHLOROPROP",8427
"Dichlorphenamide",3038
"DICHLORVOS",3039
"Diclofenac sodium",5018304
"DICLOFENAC SODIUM",5018304
"DICLOXACILLIN SODIUM",23667628
"Dicloxacillin sodium salt",23667628
"Dicoumarol",54676038
"DICTAMNINE",68085
"Dicumarol",54676038
"DICUMAROL",54676038
"DICYCLOHEXYLUREA",4277
"Dicyclomine hydrochloride",441344
"DICYCLOMINE HYDROCHLORIDE",441344
"Didanosine",135398739
"Didymin",16760075
"Dienestrol",667476
"DIENESTROL",667476
"Diethylcarbamazine citrate",15432
"DIETHYLCARBAMAZINE CITRATE",15432
"Diethylenetriaminepentaacetic acid",3053
"Diethylstilbestrol",448537
"DIETHYLSTILBESTROL",448537
"DIETHYLTOLUAMIDE",4284
"DIFFRACTAIC ACID",94870
"Diflorasone Diacetate",71414
"DIFLUBENZURON",37123
"Diflunisal",3059
"DIFLUNISAL",3059
"DIFUCOL HEXAMETHYL ETHER",5219341
"DIGITONIN",6474107
"Digitoxigenin",4369270
"DIGITOXIN",441207
"Digoxigenin",15478
"DIGOXIGENIN",15478
"Digoxin",2724385
"DIGOXIN",2724385
"Dihydro-beta-erythroidine hydrobromide",11957537
"Dihydrocapsaicin",107982
"DIHYDROCELASTROL",10411574
"DIHYDRODEOXYGEDUNIN",6708636
"Dihydroergocristine mesylate",444034
"Dihydroergocristine methanesulfonate",107715
"DIHYDROERGOTAMINE MESYLATE",71171
"Dihydroergotamine methanesulfonate",71171
"Dihydroergotamine tartrate",3037136
"Dihydroergotoxine mesylate",NA
"DIHYDROFISSINOLIDE",6708502
"DIHYDROGAMBOGIC ACID",6857793
"DIHYDROGEDUNINIC ACID, METHYL ESTER",6708761
"DIHYDROJASMONIC ACID",107126
"DIHYDROJASMONIC ACID, METHYL ESTER",102861
"Dihydrokainic acid",107883
"Dihydromethysticin",88308
"DIHYDROMUNDULETONE",3492326
"DIHYDROMYRISTICIN",162132
"Dihydroouabain",6852401
"Dihydrorobinetin",20399
"DIHYDROROTENONE",243725
"Dihydrostreptomycin sulfate",21653
"DIHYDROSTREPTOMYCIN SULFATE",21653
"Dihydrotanshinone",5316743
"DIHYDROTANSHINONE I",11425923
"Dihydroxyflavone, 6,7-",NA
"Dilazep dihydrochloride",6419915
"Dilazep hydrochloride",29976
"Diloxanide furoate",19529
"DILOXANIDE FUROATE",19529
"Diltiazem hydrochloride",62920
"DILTIAZEM HYDROCHLORIDE",62920
"Dimaprit dihydrochloride",90045
"DIMAPRIT DIHYDROCHLORIDE",90045
"Dimenhydrinate",10660
"DIMENHYDRINATE",10660
"Dimethadione",3081
"DIMETHADIONE",3081
"Dimethisoquin hydrochloride",9883104
"DIMETHOATE",3082
"DIMETHYL 4,4-o-PHENYLENE-BIS (3-THIOPHANATE)",3032791
"DIMETHYLCAFFEIC ACID",717531
"DINITOLMIDE",3092
"Dinoprost trometamol",5282415
"DIOSMETIN",5281612
"Diosmetine",5281612
"Diosmin",5281613
"DIOSMIN",5281613
"Dioxybenzone",8569
"DIOXYBENZONE",8569
"Diperodon hydrochloride",10830
"DIPERODON HYDROCHLORIDE",10830
"Diphemanil methylsulfate",6126
"Diphenhydramine hydrochloride",8980
"DIPHENHYDRAMINE HYDROCHLORIDE",8980
"Diphenidol hydrochloride",66266
"Diphenyleneiodonium chloride",2733504
"Diphenylpyraline hydrochloride",66063
"DIPHENYLPYRALINE HYDROCHLORIDE",66063
"DIPHENYLUREA",7595
"Dipivefrin hydrochloride",71486
"DIPLOSALSALATE",10745
"Diprophylline",3182
"Dipropyldopamine hydrobromide",11957536
"Dipterocarpol",441676
"DIPTERYXIN",44257265
"Dipyridamole",3108
"DIPYRIDAMOLE",3108
"Dipyrone",522325
"DIPYRONE",522325
"Dirithromycin",6473883
"DIRITHROMYCIN",6473883
"Disopyramide",3114
"Disopyramide phosphate",30928
"DISOPYRAMIDE PHOSPHATE",30928
"Distamycin A",3115
"Disulfiram",3117
"DISULFIRAM",3117
"DIURON",3120
"Dizocilpine maleate",6420042
"DJENKOLIC ACID",68134
"D-LACTITOL MONOHYDRATE",3067270
"DL-alpha-Difluoromethylornithine hydrochloride",57004
"DL-alpha-Methyl-p-tyrosine",3125
"DL-Buthionine-[S,R]-sulfoximine",21157
"DL-Cycloserine",401
"DL-erythro-Dihydrosphingosine",6603822
"DL-Homatropine hydrobromide",5821
"DL-p-Chlorophenylalanine methyl ester hydrochloride",2733277
"DL-Stearoylcarnitine chloride",5702250
"DL-Thiorphan",3132
"DL-threo-beta-hydroxyaspartic acid",443239
"DM 235",4223812
"DMSO",679
"DNQX",3899541
"DO 897/99",NA
"Dobutamine hydrochloride",65324
"DOBUTAMINE HYDROCHLORIDE",65324
"DOCOSANOL",12620
"Domoic acid",5282253
"Domperidone",3151
"DOMPERIDONE",3151
"DONEPEZIL HYDROCHLORIDE",5741
"Dopamine hydrochloride",65340
"DOPAMINE HYDROCHLORIDE",65340
"Dorzolamide hydrochloride",6918132
"Dosulepin hydrochloride",6420022
"Doxazosin mesylate",62978
"DOXAZOSIN MESYLATE",62978
"Doxepin hydrochloride",6419921
"DOXEPIN HYDROCHLORIDE",6419921
"DOXORUBICIN",31703
"Doxorubicin HCl",443939
"Doxorubicin hydrochloride",443939
"Doxycycline hyclate",54686183
"Doxycycline hydrochloride",54685920
"DOXYCYCLINE HYDROCHLORIDE",54685920
"Doxylamine succinate",11224
"DOXYLAMINE SUCCINATE",11224
"D-PHENYLALANINE",71567
"DPO-1",21678144
"D-ribofuranosylbenzimidazole",11957520
"Drofenine hydrochloride",92806
"DROFENINE HYDROCHLORIDE",92806
"Droperidol",3168
"DROPERIDOL",3168
"DROPROPIZINE",3169
"Dropropizine (R,S)",3169
"D-Serine",71077
"DSP-4 hydrochloride",11957497
"D-Tubocurarine-chloride",16051918
"DUARTIN (-)",6710727
"DUARTIN, DIMETHYL ETHER",6708574
"Dubinidine",442897
"DULOXETINE HYDROCHLORIDE",60834
"Dyclonine hydrochloride",68304
"DYCLONINE HYDROCHLORIDE",68304
"Dydrogesterone",9051
"DYPHYLLINE",3182
"E6 Berbamine",3190
"E-64",123985
"E-64-C",123664
"E-64-D",3189
"Ebelactone B",6436821
"Ebselen",3194
"EBSELEN",3194
"Eburnamonine (-)",71203
"Eburnamonine, (-)-",NA
"Ecdysone",19212
"Ecdysone, b-",NA
"Echinomycin",3197
"Econazole nitrate",68589
"ECONAZOLE NITRATE",68589
"EDOXUDINE",66377
"Edrophonium chloride",8307
"EDROPHONIUM CHLORIDE",8307
"Efaroxan hydrochloride",11957548
"EGTA",6207
"ELETRIPTAN HYDROBROMIDE",656631
"Eliprodil",60703
"Ellagic acid",5281855
"ELLAGIC ACID",5281855
"Ellipticine",3213
"Embelin",3218
"EMETINE",10219
"Emetine 2HCl",NA
"Emetine dihydrochloride",3068143
"Emetine dihydrochloride hydrate",201899
"Emodin",3220
"Enalapril maleate",5388961
"ENALAPRIL MALEATE",5388961
"ENDOSULFAN",3224
"Endothall",3225
"ENDRIN",3048
"Enilconazole",37175
"ENOXACIN",3229
"Enoximone",53708
"ENOXOLONE",10114
"ENROFLOXACIN",71188
"ENTANDROPHRAGMIN",6708543
"EPHEDRINE (1R,2S) HYDROCHLORIDE",6710657
"EPI(13)TORULOSOL",6708597
"EPIAFZELECHIN (2R,3R)(-)",443639
"EPIAFZELECHIN TRIMETHYL ETHER",6708630
"Epiandrosterone",441302
"EPIANDROSTERONE",441302
"Epibatidine, (±)-",NA
"Epibestatin hydrochloride",11957538
"EPICATECHIN",72276
"EPICATECHIN MONOGALLATE",107905
"EPICATECHIN PENTAACETATE",5317058
"Epicatechin-(-)",9064
"Epicatechin, (-)-",NA
"EPICHOLESTANOL",66066
"EPIGALLOCATECHIN 3,5-DIGALLATE",467299
"Epigallocatechin gallate",65064
"EPIGALLOCATECHIN-3-MONOGALLATE",65064
"Epinastine hydrochloride",157313
"Epirizole",3242
"EPIRUBICIN HYDROCHLORIDE",65348
"Epitiostanol",443935
"Epivincamine",637570
"EPOXY (4,5alpha)-4,5-DIHYDROSANTONIN",6481646
"EPOXYGEDUNIN",6708724
"Equilin",223368
"EQUILIN",223368
"ERGOCALCIFEROL",5280793
"Ergocryptine-alpha",134551
"ERGONOVINE MALEATE",6437065
"ERGOTAMINE TARTRATE",9787
"Eriocitrin",83489
"Eriodictyol",440735
"ERYSOLIN",3080557
"erythro-9-(2-Hydroxy-3-nonyl)adenine hydrochloride",11957547
"Erythromycin",12560
"ERYTHROMYCIN",12560
"ERYTHROMYCIN ESTOLATE",441371
"ERYTHROMYCIN ETHYLSUCCINATE",443953
"ERYTHROSE",94176
"ERYTHROSINE SODIUM",27872
"Esculetin",5281416
"ESCULETIN",5281416
"Esculin Hydrate",16211025
"ESCULIN MONOHYDRATE",16211025
"Eserine sulfate, physostigmine sulfate",6419928
"ESTRADIOL",5757
"ESTRADIOL ACETATE",9818306
"ESTRADIOL BENZOATE",222757
"ESTRADIOL CYPIONATE",9403
"ESTRADIOL DIACETATE",66431
"ESTRADIOL METHYL ETHER",246206
"ESTRADIOL PROPIONATE",19571
"ESTRADIOL VALERATE",13791
"Estradiol-17 beta",5757
"ESTRADIOL-3-SULFATE, SODIUM SALT",23682213
"ESTRAGOLE",8815
"Estriol",5756
"ESTRIOL",5756
"Estrone",5870
"ESTRONE",5870
"ESTRONE ACETATE",92846
"ESTRONE BENZOATE",15818351
"Estropipate",5284555
"ESTROPIPATE",5284555
"ET-18-OCH3",6918215
"Etanidazole",3276
"ETANIDAZOLE",3276
"Etazolate hydrochloride",37274
"ETHACRIDINE LACTATE",15789
"Ethacrynic acid",3278
"ETHACRYNIC ACID",3278
"Ethambutol dihydrochloride",14051
"ETHAMBUTOL HYDROCHLORIDE",14051
"Ethamivan",9363
"ETHAMIVAN",9363
"Ethamsylate",17506
"Ethaverine hydrochloride",5702159
"ETHAVERINE HYDROCHLORIDE",5702159
"ETHINYL ESTRADIOL",5991
"Ethionamide",2761171
"ETHIONAMIDE",2761171
"ETHIONINE",25674
"Ethisterone",5284557
"ETHISTERONE",5284557
"Ethopropazine hydrochloride",122824
"ETHOPROPAZINE HYDROCHLORIDE",122824
"Ethosuximide",3291
"ETHOSUXIMIDE",3291
"Ethotoin",3292
"Ethoxyquin",3293
"ETHOXZOLAMIDE",3295
"ETHYL EVERNINATE",80201
"ETHYLNOREPINEPHRINE HYDROCHLORIDE",18900
"Ethynodiol diacetate",9270
"ETHYNODIOL DIACETATE",9270
"Ethynylestradiol 3-methyl ether",6291
"ETIDRONATE DISODIUM",23894
"Etidronic acid, disodium salt",23894
"Etifenin",170344
"Etilefrine hydrochloride",164652
"Etodolac",3308
"ETODOLAC",3308
"Etofylline",1892
"Etomidate",667484
"ETOMIDATE",667484
"Etoposide",36462
"ETOPOSIDE",36462
"Eucatropine hydrochloride",102428
"EUCATROPINE HYDROCHLORIDE",102428
"Eudesmine",325601
"EUGENOL",3314
"EUGENYL BENZOATE",62362
"EUPARIN",119039
"EUPHOL",441678
"Euphorbiasteroid",15940183
"EUPHORBIASTEROID",15940183
"EVERNINIC ACID",586575
"Evodiamine",442088
"Evoxine",73416
"EVOXINE",73416
"EXALAMIDE",3316
"EZETIMIBE",150311
"FAMCICLOVIR",3324
"Famotidine",5702160
"FAMOTIDINE",5702160
"FAMPRIDINE",1727
"Famprofazone",3326
"FAMPROFAZONE",3326
"FARNESOL",445070
"Felbamate",3331
"FELBAMATE",3331
"Felbinac",3332
"Felodipine",3333
"Fenbendazole",3334
"FENBENDAZOLE",3334
"Fenbufen",3335
"FENBUFEN",3335
"FENBUTYRAMIDE",7011
"Fendiline hydrochloride",5702162
"FENDILINE HYDROCHLORIDE",5702162
"Fenobam",135497698
"Fenofibrate",3339
"FENOFIBRATE",3339
"Fenoldopam bromide",11957552
"FENOPROFEN",3342
"Fenoprofen calcium salt dihydrate",64747
"Fenoterol hydrobromide",5702161
"FENOTEROL HYDROBROMIDE",5702161
"Fenspiride hydrochloride",68626
"FENSPIRIDE HYDROCHLORIDE",68626
"Feroline",5903179
"FERULIC ACID",445858
"Ferutinin",354654
"Fexofenadine HCl",63002
"Fexofenadine hydrochloride",63002
"FEXOFENADINE HYDROCHLORIDE",63002
"Fiduxosin hydrochloride",172306
"FILIPIN",6433194
"Fillalbin",443007
"Finasteride",57363
"Fipexide hydrochloride",161803
"FIPEXIDE HYDROCHLORIDE",161803
"FIPRONIL",3352
"Fisetin",5281614
"FISETIN",5281614
"Flavanomarein",101781
"Flavokawain A",5355469
"Flavokawain B",5356121
"Flavoxate hydrochloride",441345
"Flecainide acetate",41022
"FLECAINIDE ACETATE",41022
"FLOPROPIONE",3362
"Florfenicol",114811
"FLORFENICOL",114811
"FLOXURIDINE",5790
"Flucloxacillin sodium",23667629
"Flucytosine",3366
"FLUDARABINE PHOSPHATE",30751
"Fludrocortisone acetate",225609
"FLUDROCORTISONE ACETATE",225609
"Flufenamic acid",3371
"FLUFENAMIC ACID",3371
"Flumazenil",3373
"Flumequine",3374
"FLUMEQUINE",3374
"Flumethasone",16490
"FLUMETHAZONE PIVALATE",5702055
"Flunarizine dihydrochloride",5282407
"FLUNARIZINE HYDROCHLORIDE",5282407
"Flunisolide",82153
"FLUNISOLIDE",82153
"Flunixin meglumine",39212
"FLUNIXIN MEGLUMINE",39212
"FLUOCINOLONE ACETONIDE",6215
"Fluocinonide",9642
"FLUOCINONIDE",9642
"FLUORESCEIN",16850
"Fluorocurarine chloride",6420084
"Fluorometholone",9878
"FLUOROMETHOLONE",9878
"FLUOROURACIL",3385
"FLUOXETINE",3386
"Fluoxetine hydrochloride",62857
"Fluphenazine dihydrochloride",67356
"Flupirtine maleate",6435335
"Flurandrenolide",15209
"FLURANDRENOLIDE",15209
"Flurbiprofen",3394
"FLURBIPROFEN",3394
"Fluspirilen",3396
"Fluspirilene",3396
"Flutamide",3397
"FLUTAMIDE",3397
"Fluticasone propionate",444036
"Fluvastatin sodium salt",23663976
"Fluvoxamine maleate",9560989
"Folic acid",135398658
"FOLIC ACID",135398658
"Folinic acid calcium salt",135403647
"Foliosidine",2837663
"FOMEPIZOLE HYDROCHLORIDE",11957593
"FORMESTANE",11273
"Formononetin",5280378
"FORMONONETIN",5280378
"Formoterol",3410
"Forskolin",47936
"FOSCARNET SODIUM",44561
"Fosfosal",3418
"FOSFOSAL",3418
"FPL 64176",3423
"FRAXETIN",5273569
"FRAXIDIN METHYL ETHER",3083928
"Friedelin",91472
"FRIEDELIN",91472
"FSCPX",133012
"FUCOSTANOL",241572
"Fulvestrant",104741
"Fumagillin",6917655
"FUMARPROTOCETRARIC ACID",5317419
"FUMAZENIL",3373
"Fumonisin B2",2733489
"Furafylline",3433
"FURALTADONE",9553856
"Furaltadone hydrochloride",9576185
"Furazolidone",5323714
"FURAZOLIDONE",5323714
"Furegrelate sodium",23663954
"Furosemide",3440
"FUROSEMIDE",3440
"Fursultiamine Hydrochloride",9845819
"Fusaric acid",3442
"FUSIDIC ACID",3000226
"Fusidic acid sodium",23672955
"Fusidic acid sodium salt",23672955
"GABA",119
"Gabaculine hydrochloride",198382
"Gabapentin",3446
"GABAPENTIN",3446
"Gabazine",107896
"Gabexate mesilate",6604561
"GABOXADOL HYDROCHLORIDE",5702253
"Galangine",NA
"Galanthamine HBr",9651
"Galanthamine hydrobromide",121587
"GALANTHAMINE HYDROBROMIDE",121587
"Gallamine triethiodide",6172
"GALLAMINE TRIETHIODIDE",6172
"GALLIC ACID",370
"Gambogic acid",9852185
"GAMBOGIC ACID",9852185
"GAMBOGIC ACID AMIDE",56951189
"gamma-Acetylinic GABA",3452
"gamma-AMINOBUTYRIC ACID",119
"gamma-D-Glutamylaminomethylsulfonic acid",2935
"Ganaxolone",6918305
"Ganciclovir",135398740
"GANGALEOIDIN",4565183
"GARCINOLIC ACID",6857794
"GARLICIN",NA
"GATIFLOXACIN",5379
"GBR 12909 dihydrochloride",104920
"GBR-12909 dihydrochloride",104920
"GBR-12935 dihydrochloride",11957553
"GEDUNIN",12004512
"GEDUNOL",6708533
"Geldanamycin",5288382
"Gelsemine",279057
"Gemfibrozil",3463
"GEMFIBROZIL",3463
"GEMIFLOXACIN MESYLATE",9588170
"GENETICIN",123865
"Genistein",5280961
"GENISTEIN",5280961
"Genistin",5281377
"GENTAMICIN SULFATE",NA
"Gentamicine sulfate",6419933
"GENTIAN VIOLET",11057
"GERANYLGERANIOL",5281365
"Geranylgeranoic acid",5275521
"Gibberellic acid",6466
"GIBBERELLIC ACID",6466
"Gibberellic acid, (+)-",NA
"Gingerol",442793
"GINKGOLIC ACID",5281858
"Ginkgolide A",9909368
"GINKGOLIDE A",9909368
"Ginkgolide B",65243
"Gitoxigenin",348482
"GITOXIGENIN",348482
"GITOXIGENIN DIACETATE",6708551
"GITOXIN",91540
"GLAFENINE",3474
"Glafenine hydrochloride",3085326
"Glibenclamide",3488
"Gliclazide",3475
"GLICLAZIDE",3475
"Glimepiride",3476
"Gliotoxin",6223
"Glipizide",3478
"GLIPIZIDE",3478
"Gliquidone",91610
"GLUCITOL-4-GUCOPYANOSIDE",160514
"GLUCONOLACTONE",7027
"GLUCOSAMINE HYDROCHLORIDE",NA
"GLUCOSAMINIC ACID",73563
"GLUTAMINE (D)",5961
"GLUTAMINE (L)",5961
"GLUTATHIONE",124886
"Glutethimide, para-amino",2145
"Glybenclamide",3488
"GLYBURIDE",3488
"Glycocholic acid",10140
"Glycopyrrolate",11693
"GLYCOPYRROLATE",11693
"Glycyrrhetinic acid, 18-b -",NA
"GLYCYRRHIZIC ACID, AMMONIUM SALT",62074
"GLYPHOSATE",3496
"GOSSYPETIN",5280647
"GOSSYPIN",5281621
"Gossypol",3503
"GOSSYPOL",3503
"GOSSYPOL-ACETIC ACID COMPLEX",227456
"GR 113808",119376
"GR 125487 sulfamate salt",11957556
"GR 127935 hydrochloride hydrate",11497466
"GR 46611",6160690
"GR 79236X",9884817
"GR-89696 fumarate",6442840
"GRAMICIDIN",16130140
"Gramine",6890
"Graveoline",353825
"GRAYANOTOXIN I",9548612
"Grayanotoxin III",11057730
"GRISEOFULVIC ACID",71317160
"Griseofulvin",441140
"GRISEOFULVIN",441140
"Griseofulvin, (+)-",3512
"GUAIAZULENE",3515
"Guaifenesin",3516
"GUAIFENESIN",3516
"Guaiol",227829
"GUAIOL(-)",227829
"Guanabenz acetate",5702062
"GUANABENZ ACETATE",5702062
"Guanadrel sulfate",68552
"GUANETHIDINE SULFATE",86471
"Guanethidine sulfate",86471
"Guanfacine hydrochloride",71401
"GUANIDINE CARBONATE",NA
"Guanidinyl-naltrindole di-trifluoroacetate",9853099
"Guvacine hydrochloride",11957555
"GUVACINE HYDROCHLORIDE",11957555
"GW1929",6518171
"GW2974",6603857
"GW5074",5924208
"GW7647",3392731
"GW9662",644213
"GYKI 52466 hydrochloride",10042240
"GYKI 52895",3539
"H-8 dihydrochloride",150584
"HA-100",NA
"HA-1004 hydrochloride",6603862
"HAEMATOMMIC ACID",6710680
"HAEMATOMMIC ACID, ETHYL ESTER",3940691
"HAEMATOPORPHYRIN",11103
"HAEMATOXYLIN",442514
"HAEMATOXYLIN PENTAACETATE",6708558
"HALAZONE",3552
"Halcinonide",443943
"HALCINONIDE",443943
"Halofantrine hydrochloride",37392
"Haloperidol",3559
"HALOPERIDOL",3559
"HARMALINE",3564
"Harmaline HCl",196973
"Harmaline hydrochloride dihydrate",2723643
"Harmalol HCl",145825
"HARMALOL HYDROCHLORIDE",145825
"Harmalol hydrochloride dihydrate",135403649
"Harmane",5281404
"HARMANE",5281404
"Harmane HCl",5487918
"Harmane hydrochloride",5487918
"HARMINE",5280953
"Harmine HCl",5359389
"Harmine hydrochloride",5359389
"Harmol HCl",94507
"HARMOL HYDROCHLORIDE",94507
"Harmol hydrochloride monohydrate",6419938
"Harpagoside",5281542
"HARPAGOSIDE",5281542
"Harringtonine",276389
"HECOGENIN",91453
"HECOGENIN ACETATE",101906
"HEDERACOSIDE C",11491905
"HEDERAGENIN",73299
"HELENINE",72724
"HELICIN",101799
"Heliotrine",906426
"Helveticoside",441860
"HEMATEIN",135403802
"Hemicholinium bromide",9399
"Hemicholinium-3",9399
"HE-NECA",164437
"HEPTACHLOR",3589
"Heptaminol hydrochloride",10969
"HEPTAMINOL HYDROCHLORIDE",10969
"Hernandezine",72343
"Hesperetin",72281
"HESPERETIN",72281
"Hesperetine",3593
"HESPERIDIN",10621
"Hesperidin",10621
"Hesperidine",10621
"HETACILLIN POTASSIUM",23678597
"Heteratisine",73527
"HETEROPEUCENIN, METHYL ETHER",4643333
"HEXACHLOROPHENE",3598
"Hexahydro-sila-difenidol hydrochloride, p-fluoro analog",11957564
"Hexamethonium bromide",5938
"HEXAMETHONIUM BROMIDE",5938
"Hexamethonium dibromide dihydrate",6419940
"Hexamethonium dichloride",93550
"HEXAMETHYLQUERCETAGETIN",386331
"Hexestrol",3606
"Hexetidine",3607
"Hexylcaine hydrochloride",102426
"HEXYLRESORCINOL",3610
"HIERACIN",5281701
"Himbacine",6436265
"HINOKITIOL",3611
"Hippeastrine hydrobromide",6419913
"Hispidin",54685921
"Histamine dihydrochloride",5818
"HISTAMINE DIHYDROCHLORIDE",5818
"Histamine, R(-)-alpha-methyl-, dihydrochloride",11957567
"HOMATROPINE BROMIDE",6419941
"Homatropine HBr",6419941
"Homatropine hydrobromide (R,S)",6419941
"HOMATROPINE METHYLBROMIDE",10429215
"HOMIDIUM BROMIDE",14710
"Homobutein",6438092
"Homochlorcyclizine dihydrochloride",656590
"Homoeriodictyol (-)",NA
"Homoorientin",114776
"HOMOPTEROCARPIN",101795
"Homosalate",8362
"HOMOSALATE",8362
"Honokiol",72303
"Hordenine sulfate",71550
"HUMULENE (alpha)",6187145
"HUPERZINE A",854026
"Huperzine A, (-)-",NA
"Hycanthone",3634
"HYCANTHONE",3634
"Hydralazine hydrochloride",9351
"HYDRALAZINE HYDROCHLORIDE",9351
"HYDRASTINE (1R, 9S)",197835
"Hydrastine hydrochloride",197834
"Hydrastine, D-b -",NA
"Hydrastinine hydrochloride",71833
"HYDRINDANTIN HYDRATE",23216254
"Hydrochlorothiazide",3639
"HYDROCHLOROTHIAZIDE",3639
"Hydrocortisone",5754
"HYDROCORTISONE",5754
"HYDROCORTISONE ACETATE",5744
"Hydrocortisone base",5754
"HYDROCORTISONE BUTYRATE",26133
"HYDROCORTISONE HEMISUCCINATE",16623
"HYDROCORTISONE PHOSPHATE TRIETHYLAMINE",89971161
"HYDROCORTISONE VALERATE",5282494
"Hydrocotarnine hydrobromide",6419942
"HYDROCOTARNINE HYDROBROMIDE",6419942
"Hydroflumethiazide",3647
"HYDROFLUMETHIAZIDE",3647
"HYDROQUINIDINE",91503
"Hydroquinine hydrobromide hydrate",6420031
"Hydroquinone",785
"HYDROQUINONE",785
"Hydroxycamptothecin, 10-",NA
"HYDROXYCHLOROQUINE SULFATE",12947
"Hydroxyflavone, 7-",NA
"Hydroxylamine hydrochloride",443297
"HYDROXYPROGESTERONE",6238
"HYDROXYPROGESTERONE CAPROATE",169870
"Hydroxytacrine maleate",5702293
"HYDROXYTACRINE MALEATE",5702293
"Hydroxytacrine maleate (R,S)",NA
"Hydroxytropinone, 6-",NA
"Hydroxyurea",3657
"HYDROXYUREA",3657
"Hydroxyzine dihydrochloride",91513
"HYDROXYZINE PAMOATE",25096
"HYGROMYCIN B",56928061
"Hymecromone",5280567
"HYMECROMONE METHYL ETHER",390807
"Hyoscyamine",154417
"HYOSCYAMINE",154417
"Hyoscyamine (L)",154417
"Hypericin",3663
"Hypocrellin A",3664
"Hypocrellin B",NA
"Hypotaurine",107812
"HYPOXANTHINE",135398638
"Ibandronate sodium",23670359
"IB-MECA",123683
"Ibudilast",3671
"IBUPROFEN",3672
"IC 261",5288600
"ICARIIN",5318997
"ICI 118,551 hydrochloride",25102594
"ICI 204,448 hydrochloride",129407
"Icilin",161930
"Idarubicin",42890
"Idazoxan hydrochloride",154494
"IDEBENONE",3686
"Idoxuridine",5905
"IEM-1460",11957560
"Ifenprodil tartrate",656586
"Ifosfamide",3690
"IFOSFAMIDE",3690
"IIK7",4172142
"Imazodan",55918
"Imetit dihydrobromide",11957573
"IMID-4F hydrochloride",11957569
"IMIDAZOL-4-YLACETIC ACID SODIUM SALT",4139109
"Imidazole-4-acetic acid hydrochloride",145685
"Imidurea",38258
"Imiloxan hydrochloride",172975
"Imipenem",104838
"Imipramine hydrochloride",8228
"IMIPRAMINE HYDROCHLORIDE",8228
"Imiquimod",57469
"IMPERATORIN",10212
"Imperialine",442977
"Indapamide",3702
"INDAPAMIDE",3702
"Indatraline hydrochloride",10314472
"Indirubin",10177
"Indirubin-3'-oxime",3707
"INDOLE-2-CARBOXYLIC ACID",72899
"Indole-3-butyric acid",8617
"INDOLE-3-CARBINOL",3712
"Indomethacin",3715
"INDOMETHACIN",3715
"Indoprofen",3718
"INDOPROFEN",3718
"Ingenol",442042
"Ingenol 3,20-dibenzoate",442043
"INOSINE",135398641
"INOSITOL",892
"Iobenguane sulfate",11957572
"Iocetamic acid",27648
"Iodipamide",3739
"IODIPAMIDE",3739
"Iodixanol",3724
"Iodoacetamide",3727
"IODOQUINOL",3728
"Iofetamine hydrochloride",55305
"Iohexol",3730
"I-OMe-Tyrphostin AG 538",5353685
"Iopamidol",65492
"IOPANIC ACID",3735
"Iopanoic acid",3735
"Iopromide",3736
"Ioversol",3741
"Ioxaglic acid",3742
"Ipratropium bromide",657308
"IPRATROPIUM BROMIDE",657308
"Iproniazid phosphate",9367
"Iproniazide phosphate",9367
"IRAK-1/4 Inhibitor I",NA
"IRBESARTAN",3749
"IRETOL",4303263
"IRIDIN",5281777
"IRIGENIN",5464170
